adv,bottom,cod,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,type,upright,width,x0,x1,y0,y1,cont_num
1.000,390.210,10,5431.710,HIMFLA+FangSong,10.500,0,char,7,10.500,0,报告期内，本公司董事、监事、高级管理人员或履行同等职责人员发生如下变更：,379.710,para,True,10.500,63.540,74.040,451.790,462.290,0
1.000,533.190,14,5574.690,HIMFLA+FangSong,10.500,0,char,7,10.500,0,新就任人员情况,522.690,para,True,10.500,42.540,53.040,308.810,319.310,0
0.500,605.520,16,5645.520,HIMFLA+FangSong,12.000,0,char,7,12.000,0,2021年2月1日，本公司收到深圳市国资委文件《深圳市国资委关于朱志强任职的通知》,593.520,para,True,6.000,71.040,158.040,236.480,248.480,0
1.000,633.540,17,5673.540,HIMFLA+FangSong,12.000,0,char,7,12.000,0,和《深圳市国资委党委关于朱志强同志任职的通知》：朱志强任深圳市资本运营集团有限公司董,621.540,para,True,12.000,42.540,54.540,208.460,220.460,0
1.000,661.500,18,5701.500,HIMFLA+FangSong,12.000,0,char,7,12.000,0,事、党委副书记职务。根据公司第一届第二十四次董事会决议，聘任朱志强任深圳市资本运营集,649.500,para,True,12.000,42.540,54.540,180.500,192.500,0
1.000,689.520,19,5729.520,HIMFLA+FangSong,12.000,0,char,7,12.000,0,团有限公司总经理。,677.520,para,True,12.000,42.540,54.540,152.480,164.480,0
0.500,731.520,20,5771.520,HIMFLA+FangSong,12.000,0,char,7,12.000,0,2021年6月15日，本公司收到深圳市国资委文件《深圳市国资委关于杨剑平任职的通,719.520,para,True,6.000,71.040,164.040,110.480,122.480,0
1.000,759.540,21,5799.540,HIMFLA+FangSong,12.000,0,char,7,12.000,0,知》：杨剑平任深圳市资本运营集团有限公司董事、财务总监。,747.540,para,True,12.000,42.540,54.540,82.460,94.460,0
1.000,81.960,0,5963.960,HIMIJC+SimHei,12.000,0,char,8,12.000,,五、公司独立性情况,69.960,para,True,12.000,42.540,54.540,760.040,772.040,3
1.000,126.060,1,6008.060,HIMFLA+FangSong,12.000,0,char,8,12.000,,公司业务独立于股东及其他关联方，公司资产独立、完整，人员、机构、财务独立，公司具有面,114.060,para,True,12.000,42.540,54.540,715.940,727.940,0
1.000,154.080,2,6036.080,HIMFLA+FangSong,12.000,0,char,8,12.000,,向市场自主经营的能力。,142.080,para,True,12.000,42.540,54.540,687.920,699.920,0
1.000,193.980,3,6075.980,HIMIJC+SimHei,12.000,0,char,8,12.000,,六、公司合规性情况,181.980,para,True,12.000,42.540,54.540,648.020,660.020,3
1.000,221.730,4,6105.230,HIMFLA+FangSong,10.500,0,char,8,10.500,,报告期内，本公司不存在违反法律法规、公司章程、信息披露事务管理制度等规定的情况以及债券募集说,211.230,para,True,10.500,63.540,74.040,620.270,630.770,0
1.000,249.750,5,6133.250,HIMFLA+FangSong,10.500,0,char,8,10.500,,明书约定或承诺的情况。,239.250,para,True,10.500,42.540,53.040,592.250,602.750,0
1.000,277.980,6,6159.980,HIMIJC+SimHei,12.000,0,char,8,12.000,,七、公司业务及经营情况,265.980,para,True,12.000,42.540,54.540,564.020,576.020,3
1.000,305.730,7,6189.230,HIMFLA+FangSong,10.500,0,char,8,10.500,0,（一） 公司业务情况,295.230,para,True,10.500,42.540,53.040,536.270,546.770,4
1.000,350.040,8,6232.040,HIMFLA+FangSong,12.000,0,char,8,12.000,0,公司的经营范围为：投资兴办各类实业（具体项目另行申报），投资业务；投资管理；资,338.040,para,True,12.000,69.420,81.420,491.960,503.960,0
1.000,378.060,9,6260.060,HIMFLA+FangSong,12.000,0,char,8,12.000,0,产管理。,366.060,para,True,12.000,42.540,54.540,463.940,475.940,0
1.000,420.060,10,6302.060,HIMFLA+FangSong,12.000,0,char,8,12.000,0,公司主要业务有城市建筑规划设计咨询业务、金融证券业务、基金投资业务、股权投资业,408.060,para,True,12.000,69.420,81.420,421.940,433.940,0
1.000,448.080,11,6330.080,HIMFLA+FangSong,12.000,0,char,8,12.000,0,务、电子行业新材料制造业务、电力能源业务、企业“孵化器”及相关业务、商品销售业务及新,436.080,para,True,12.000,42.540,54.540,393.920,405.920,0
1.000,476.040,12,6358.040,HIMFLA+FangSong,12.000,0,char,8,12.000,0,能源制造业务。其中，城市建筑规划设计咨询业务主要依托于公司控股子公司深圳市建筑科学研,464.040,para,True,12.000,42.540,54.540,365.960,377.960,0
1.000,504.060,13,6386.060,HIMFLA+FangSong,12.000,0,char,8,12.000,0,究院股份有限公司；金融证券业务主要依托于公司控股子公司万和证券股份有限公司；产业投资,492.060,para,True,12.000,42.540,54.540,337.940,349.940,0
1.000,532.080,14,6414.080,HIMFLA+FangSong,12.000,0,char,8,12.000,0,基金业务主要依托于公司自身及公司下属两家联营企业深圳市远致富海投资管理有限公司和深圳,520.080,para,True,12.000,42.540,54.540,309.920,321.920,0
1.000,560.040,15,6442.040,HIMFLA+FangSong,12.000,0,char,8,12.000,0,市远致瑞信股权投资管理有限公司；股权投资业务主要依托于公司自身。此外，公司产业投资基,548.040,para,True,12.000,42.540,54.540,281.960,293.960,0
1.000,588.060,16,6470.060,HIMFLA+FangSong,12.000,0,char,8,12.000,0,金业务以及股权投资业务产生的收益不直接通过营业收入体现，而是通过公司投资收益体现。电,576.060,para,True,12.000,42.540,54.540,253.940,265.940,0
1.000,616.080,17,6498.080,HIMFLA+FangSong,12.000,0,char,8,12.000,0,子行业新材料制造业务主要依托于深圳市柳鑫实业股份有限公司；电力能源业务主要依托于深圳,604.080,para,True,12.000,42.540,54.540,225.920,237.920,0
1.000,644.040,18,6526.040,HIMFLA+FangSong,12.000,0,char,8,12.000,0,市能源集团有限公司；企业“孵化器”及相关业务主要依托于中国科技开发院有限公司；商品销,632.040,para,True,12.000,42.540,54.540,197.960,209.960,0
1.000,672.060,19,6554.060,HIMFLA+FangSong,12.000,0,char,8,12.000,0,售业务主要依托于深圳远致富海六号投资企业（有限合伙）；新能源制造业务主要依托于深圳市,660.060,para,True,12.000,42.540,54.540,169.940,181.940,0
1.000,700.080,20,6582.080,HIMFLA+FangSong,12.000,0,char,8,12.000,0,科陆电子科技股份有限公司。,688.080,para,True,12.000,42.540,54.540,141.920,153.920,0
0.500,742.080,21,6624.080,HIMFLA+FangSong,12.000,0,char,8,12.000,0,1、城市建筑规划设计咨询板块,730.080,para,True,6.000,69.540,75.540,99.920,111.920,3
1.000,84.060,0,6808.060,HIMFLA+FangSong,12.000,0,char,9,12.000,,公司城市建筑规划设计咨询板块的收入主要来源于公司控股子公司深圳市建筑科学研究院,72.060,para,True,12.000,70.560,82.560,757.940,769.940,0
1.000,112.080,1,6836.080,HIMFLA+FangSong,12.000,0,char,9,12.000,,股份有限公司（以下简称“深圳建科院”）。深圳建科院的主营业务包括建筑设计、绿色建筑咨,100.080,para,True,12.000,42.540,54.540,729.920,741.920,0
1.000,140.040,2,6864.040,HIMFLA+FangSong,12.000,0,char,9,12.000,,询、生态城市规划、公信服务等业务。另外，建科院正在积极尝试创新发展绿色综合运营（DOT）,128.040,para,True,12.000,42.540,54.540,701.960,713.960,0
0.500,168.060,3,6892.060,HIMFLA+FangSong,12.000,0,char,9,12.000,,模式，以及培育绿色人居环境B2C技术服务（HOME+）等新产品。深圳建科院以面向绿色建筑和,156.060,para,True,6.000,42.540,234.540,673.940,685.940,0
1.000,196.080,4,6920.080,HIMFLA+FangSong,12.000,0,char,9,12.000,,生态城市建设为核心提供涵盖科研、规划、设计、咨询、检测、项目管理以及运营等全过程所需,184.080,para,True,12.000,42.540,54.540,645.920,657.920,0
1.000,224.100,5,6948.100,HIMFLA+FangSong,12.000,0,char,9,12.000,,综合解决方案，逐步发展成为国内知名、领先的绿色建筑和生态城市综合技术服务提供商之一。,212.100,para,True,12.000,42.540,54.540,617.900,629.900,0
0.500,266.100,6,6990.100,HIMFLA+FangSong,12.000,0,char,9,12.000,0,2、金融证券板块,254.100,para,True,6.000,70.620,76.620,575.900,587.900,3
1.000,308.040,7,7032.040,HIMFLA+FangSong,12.000,0,char,9,12.000,0,公司金融证券板块的收入主要来源于公司控股子公司万和证券股份有限公司（以下简称,296.040,para,True,12.000,70.560,82.560,533.960,545.960,0
0.500,336.060,8,7060.060,HIMFLA+FangSong,12.000,0,char,9,12.000,0,“万和证券”）。万和证券成立于2002年1月18日，是业务全牌照、网点全覆盖、全产业链的,324.060,para,True,6.000,42.540,318.540,505.940,517.940,0
0.500,364.080,9,7088.080,HIMFLA+FangSong,12.000,0,char,9,12.000,0,综合类券商。经过多年的发展，截至2021年6月30日，万和证券共有74家分支机构，2家子,352.080,para,True,6.000,42.540,525.540,477.920,489.920,0
0.500,392.040,10,7116.040,HIMFLA+FangSong,12.000,0,char,9,12.000,0,公司，覆盖全国25个省、直辖市、自治区及计划单列市。除内地极少数省区外，万和证券在全,380.040,para,True,6.000,42.540,156.540,449.960,461.960,0
1.000,420.060,11,7144.060,HIMFLA+FangSong,12.000,0,char,9,12.000,0,国绝大多数省、市、自治区均设置了营业网点，形成了在全国范围内地域覆盖广、布局合理的业,408.060,para,True,12.000,42.540,54.540,421.940,433.940,0
1.000,448.080,12,7172.080,HIMFLA+FangSong,12.000,0,char,9,12.000,0,务格局。,436.080,para,True,12.000,42.540,54.540,393.920,405.920,0
0.500,490.080,13,7214.080,HIMFLA+FangSong,12.000,0,char,9,12.000,0,3、基金业务板块,478.080,para,True,6.000,70.620,76.620,351.920,363.920,3
1.000,532.080,14,7256.080,HIMFLA+FangSong,12.000,0,char,9,12.000,0,公司产业基金业务板块主要包括投资于深圳市远致富海投资管理有限公司和深圳市远致瑞,520.080,para,True,12.000,70.560,82.560,309.920,321.920,0
