,adv,bottom,cod,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,upright,width,x0,x1,y0,y1,type,
22,4.563,792.186,7,2467.026,ABCDEE+Calibri,9,0,char,3,9,0,3,783.186,TRUE,4.563,295.37,299.933,49.734,58.734,para,页脚
23,9,52.869,0,2569.629,ABCDEE+宋体,9,0,char,4,9,0,开远市兴远开发投资集团有限公司公司债券年度报告（2020年）,43.869,TRUE,9,170.42,415.99,788.07,797.07,para,页眉
24,14.04,88.02,1,2599.74,ABCDEE+宋体,14.04,0,char,4,14.04,0,目录,73.98,TRUE,14.04,283.61,297.65,753.9,764.951,para,目录
25,10.56,102.189,2,2617.389,ABCDEE+宋体,10.56,0,char,4,10.56,0,重要提示 ........................................................................................................................................... 2,91.629,TRUE,10.56,89.904,100.464,738.58,749.14,para,目录
26,10.56,115.869,3,2631.069,ABCDEE+宋体,10.56,0,char,4,10.56,0,重大风险提示 ................................................................................................................................... 3,105.309,TRUE,10.56,89.904,100.464,724.9,735.46,para,目录
27,10.56,129.429,4,2644.629,ABCDEE+宋体,10.56,0,char,4,10.56,0,释义................................................................................................................................................... 6,118.869,TRUE,10.56,89.904,100.464,711.34,721.9,para,目录
28,10.56,143.109,5,2658.309,ABCDEE+宋体,10.56,0,char,4,10.56,0,第一节 公司及相关中介机构简介 ....................................................................................... 7,132.549,TRUE,10.56,89.904,163.46,697.66,708.22,para,目录
29,10.56,156.669,6,2671.869,ABCDEE+宋体,10.56,0,char,4,10.56,0,一、 公司基本信息 ................................................................................................................... 7,146.109,TRUE,10.56,90.264,142.82,684.1,694.66,para,目录
30,10.56,170.349,7,2685.549,ABCDEE+宋体,10.56,0,char,4,10.56,0,二、 信息披露事务负责人 ....................................................................................................... 7,159.789,TRUE,10.56,90.264,142.82,670.42,680.98,para,目录
31,10.56,183.909,8,2699.109,ABCDEE+宋体,10.56,0,char,4,10.56,0,三、 信息披露网址及置备地 ................................................................................................... 7,173.349,TRUE,10.56,90.264,142.82,656.86,667.42,para,目录
32,10.56,197.589,9,2712.789,ABCDEE+宋体,10.56,0,char,4,10.56,0,四、 报告期内控股股东、实际控制人变更及变化情况 ....................................................... 8,187.029,TRUE,10.56,90.264,142.82,643.18,653.74,para,目录
33,10.56,211.149,10,2726.349,ABCDEE+宋体,10.56,0,char,4,10.56,0,五、 报告期内董事、监事、高级管理人员的变更情况 ....................................................... 8,200.589,TRUE,10.56,90.264,142.82,629.62,640.18,para,目录
34,10.56,224.829,11,2740.029,ABCDEE+宋体,10.56,0,char,4,10.56,0,六、 中介机构情况 ................................................................................................................... 8,214.269,TRUE,10.56,90.264,142.82,615.94,626.5,para,目录
35,10.56,238.389,12,2753.589,ABCDEE+宋体,10.56,0,char,4,10.56,0,第二节 公司债券事项 ......................................................................................................... 10,227.829,TRUE,10.56,89.904,163.46,602.38,612.94,para,目录
36,10.56,252.069,13,2767.269,ABCDEE+宋体,10.56,0,char,4,10.56,0,一、 债券基本信息 ................................................................................................................. 10,241.509,TRUE,10.56,90.264,142.82,588.7,599.26,para,目录
37,10.56,265.629,14,2780.829,ABCDEE+宋体,10.56,0,char,4,10.56,0,二、 募集资金使用情况 ......................................................................................................... 11,255.069,TRUE,10.56,90.264,142.82,575.14,585.7,para,目录
38,10.56,279.189,15,2794.389,ABCDEE+宋体,10.56,0,char,4,10.56,0,三、 报告期内资信评级情况 ................................................................................................. 12,268.629,TRUE,10.56,90.264,142.82,561.58,572.14,para,目录
39,10.56,292.899,16,2808.099,ABCDEE+宋体,10.56,0,char,4,10.56,0,四、 增信机制及其他偿债保障措施情况 ............................................................................. 13,282.339,TRUE,10.56,90.264,142.82,547.87,558.43,para,目录
40,10.56,306.459,17,2821.659,ABCDEE+宋体,10.56,0,char,4,10.56,0,五、 偿债计划......................................................................................................................... 14,295.899,TRUE,10.56,90.264,142.82,534.31,544.87,para,目录
41,10.56,320.139,18,2835.339,ABCDEE+宋体,10.56,0,char,4,10.56,0,六、 专项偿债账户设置情况 ................................................................................................. 15,309.579,TRUE,10.56,90.264,142.82,520.63,531.19,para,目录
42,10.56,333.699,19,2848.899,ABCDEE+宋体,10.56,0,char,4,10.56,0,七、 报告期内持有人会议召开情况 ..................................................................................... 15,323.139,TRUE,10.56,90.264,142.82,507.07,517.63,para,目录
43,10.56,347.379,20,2862.579,ABCDEE+宋体,10.56,0,char,4,10.56,0,八、 受托管理人（包含债权代理人）履职情况 ................................................................. 15,336.819,TRUE,10.56,90.264,142.82,493.39,503.95,para,目录
44,10.56,360.939,21,2876.139,ABCDEE+宋体,10.56,0,char,4,10.56,0,第三节 业务经营和公司治理情况 ..................................................................................... 16,350.379,TRUE,10.56,89.904,163.46,479.83,490.39,para,目录
45,10.56,374.619,22,2889.819,ABCDEE+宋体,10.56,0,char,4,10.56,0,一、 公司业务和经营情况 ..................................................................................................... 16,364.059,TRUE,10.56,90.264,142.82,466.15,476.71,para,目录
46,10.56,388.179,23,2903.379,ABCDEE+宋体,10.56,0,char,4,10.56,0,二、 投资状况......................................................................................................................... 18,377.619,TRUE,10.56,90.264,142.82,452.59,463.15,para,目录
47,10.56,401.859,24,2917.059,ABCDEE+宋体,10.56,0,char,4,10.56,0,三、 与主要客户业务往来时是否发生严重违约 ................................................................. 18,391.299,TRUE,10.56,90.264,142.82,438.91,449.47,para,目录
48,10.56,415.419,25,2930.619,ABCDEE+宋体,10.56,0,char,4,10.56,0,四、 公司治理情况 ................................................................................................................. 19,404.859,TRUE,10.56,90.264,142.82,425.35,435.91,para,目录
49,10.56,429.099,26,2944.299,ABCDEE+宋体,10.56,0,char,4,10.56,0,五、 非经营性往来占款或资金拆借 ..................................................................................... 19,418.539,TRUE,10.56,90.264,142.82,411.67,422.23,para,目录
50,10.56,442.659,27,2957.859,ABCDEE+宋体,10.56,0,char,4,10.56,0,第四节 财务情况 ................................................................................................................. 19,432.099,TRUE,10.56,89.904,163.46,398.11,408.67,para,目录
51,10.56,456.339,28,2971.539,ABCDEE+宋体,10.56,0,char,4,10.56,0,一、 财务报告审计情况 ......................................................................................................... 19,445.779,TRUE,10.56,90.264,142.82,384.43,394.99,para,目录
52,10.56,469.899,29,2985.099,ABCDEE+宋体,10.56,0,char,4,10.56,0,二、 会计政策、会计估计变更或重大会计差错更正 ......................................................... 19,459.339,TRUE,10.56,90.264,142.82,370.87,381.43,para,目录
53,10.56,483.599,30,2998.799,ABCDEE+宋体,10.56,0,char,4,10.56,0,三、 合并报表范围调整 ......................................................................................................... 20,473.039,TRUE,10.56,90.264,142.82,357.17,367.73,para,目录
54,10.56,497.159,31,3012.359,ABCDEE+宋体,10.56,0,char,4,10.56,0,四、 主要会计数据和财务指标 ............................................................................................. 20,486.599,TRUE,10.56,90.264,142.82,343.61,354.17,para,目录
55,10.56,510.839,32,3026.039,ABCDEE+宋体,10.56,0,char,4,10.56,0,五、 资产情况......................................................................................................................... 21,500.279,TRUE,10.56,90.264,142.82,329.93,340.49,para,目录
56,10.56,524.399,33,3039.599,ABCDEE+宋体,10.56,0,char,4,10.56,0,六、 负债情况......................................................................................................................... 22,513.839,TRUE,10.56,90.264,142.82,316.37,326.93,para,目录
57,10.56,538.079,34,3053.279,ABCDEE+宋体,10.56,0,char,4,10.56,0,七、 利润及其他损益来源情况 ............................................................................................. 24,527.519,TRUE,10.56,90.264,142.82,302.69,313.25,para,目录
58,10.56,551.639,35,3066.839,ABCDEE+宋体,10.56,0,char,4,10.56,0,八、 报告期内经营性活动现金流的来源及可持续性 ......................................................... 24,541.079,TRUE,10.56,90.264,142.82,289.13,299.69,para,目录
59,10.56,565.319,36,3080.519,ABCDEE+宋体,10.56,0,char,4,10.56,0,九、 对外担保情况 ................................................................................................................. 24,554.759,TRUE,10.56,90.264,142.82,275.45,286.01,para,目录
60,10.56,578.879,37,3094.079,ABCDEE+宋体,10.56,0,char,4,10.56,0,第五节 重大事项 ................................................................................................................. 25,568.319,TRUE,10.56,89.904,163.46,261.89,272.45,para,目录
61,10.56,592.439,38,3107.639,ABCDEE+宋体,10.56,0,char,4,10.56,0,一、 关于重大诉讼、仲裁或受到重大行政处罚的事项 ..................................................... 25,581.879,TRUE,10.56,90.264,142.82,248.33,258.89,para,目录
62,10.56,606.119,39,3121.319,ABCDEE+宋体,10.56,0,char,4,10.56,0,二、 关于破产相关事项 ......................................................................................................... 25,595.559,TRUE,10.56,90.264,142.82,234.65,245.21,para,目录
63,10.56,619.679,40,3134.879,ABCDEE+宋体,10.56,0,char,4,10.56,0,三、 关于被司法机关调查、被采取强制措施或被列为失信被执行人等事项 ................. 25,609.119,TRUE,10.56,90.264,142.82,221.09,231.65,para,目录
64,10.56,633.359,41,3148.559,ABCDEE+宋体,10.56,0,char,4,10.56,0,四、 其他重大事项的信息披露情况 ..................................................................................... 25,622.799,TRUE,10.56,90.264,142.82,207.41,217.97,para,目录
65,10.56,646.919,42,3162.119,ABCDEE+宋体,10.56,0,char,4,10.56,0,第六节 特定品种债券应当披露的其他事项 ..................................................................... 25,636.359,TRUE,10.56,89.904,163.46,193.85,204.41,para,目录
66,10.56,660.599,43,3175.799,ABCDEE+宋体,10.56,0,char,4,10.56,0,一、发行人为可交换债券发行人 ................................................................................................ 25,650.039,TRUE,10.56,90.264,100.824,180.17,190.73,para,目录
67,10.56,674.189,44,3189.389,ABCDEE+宋体,10.56,0,char,4,10.56,0,二、发行人为非上市公司非公开发行可转换公司债券发行人 ................................................. 25,663.629,TRUE,10.56,90.264,100.824,166.58,177.14,para,目录
68,10.56,687.869,45,3203.069,ABCDEE+宋体,10.56,0,char,4,10.56,0,三、发行人为一带一路/绿色/扶贫/纾困公司债券发行人 ...................................................... 25,677.309,TRUE,10.56,90.264,100.824,152.9,163.46,para,目录
69,10.56,701.429,46,3216.629,ABCDEE+宋体,10.56,0,char,4,10.56,0,四、发行人为可续期公司债券发行人 ........................................................................................ 25,690.869,TRUE,10.56,90.264,100.824,139.34,149.9,para,目录
70,10.56,715.109,47,3230.309,ABCDEE+宋体,10.56,0,char,4,10.56,0,五、其他特定品种债券事项 ........................................................................................................ 25,704.549,TRUE,10.56,90.264,100.824,125.66,136.22,para,目录
71,10.56,728.669,48,3243.869,ABCDEE+宋体,10.56,0,char,4,10.56,0,第七节 发行人认为应当披露的其他事项 ......................................................................... 25,718.109,TRUE,10.56,89.904,163.46,112.1,122.66,para,目录
72,10.56,742.349,49,3257.549,ABCDEE+宋体,10.56,0,char,4,10.56,0,第八节 备查文件目录 ......................................................................................................... 27,731.789,TRUE,10.56,89.904,163.46,98.42,108.98,para,目录
73,10.56,755.905,50,3271.105,ABCDEE+宋体,10.56,0,char,4,10.56,0,财务报表 ......................................................................................................................................... 29,745.345,TRUE,10.56,89.904,100.464,84.864,95.424,para,目录
74,4.563,792.186,51,3308.946,ABCDEE+Calibri,9,0,char,4,9,0,4,783.186,TRUE,4.563,295.37,299.933,49.734,58.734,para,页脚
75,9,52.869,0,3411.549,ABCDEE+宋体,9,0,char,5,9,0,开远市兴远开发投资集团有限公司公司债券年度报告（2020年）,43.869,TRUE,9,170.42,415.99,788.07,797.07,para,页眉
76,10.56,84.049,1,3441.169,ABCDEE+宋体,10.56,0,char,5,10.56,0,附件一： 发行人财务报表..................................................................................................... 29,73.489,TRUE,10.56,90.264,163.82,756.72,767.28,para,目录
77,10.56,97.629,2,3454.749,ABCDEE+宋体,10.56,0,char,5,10.56,0,担保人财务报表 ............................................................................................................................. 42,87.069,TRUE,10.56,89.904,100.464,743.14,753.7,para,目录
78,4.563,792.186,3,4150.866,ABCDEE+Calibri,9,0,char,5,9,0,5,783.186,TRUE,4.563,295.37,299.933,49.734,58.734,para,页脚
79,9,52.869,0,4253.469,ABCDEE+宋体,9,0,char,6,9,0,开远市兴远开发投资集团有限公司公司债券年度报告（2020年）,43.869,TRUE,9,170.42,415.99,788.07,797.07,para,页眉
80,12,111.272,1,4308.872,ABCDEE+宋体,12,0,char,6,12,0,释义,99.272,TRUE,12,285.65,297.65,730.648,742.648,para,标题1
81,10.56,161.3,2,4358.469,ABCDEE+宋体,10.56,0,char,6,10.56,0,发行人/公司/开远兴远/本公司 ,147.26,TRUE,10.56,84.504,238.73,682.491,693.051,tbl,
82,10.56,161.3,2,4358.469,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,147.26,TRUE,10.56,238.73,267.17,682.491,693.051,tbl,
83,10.56,161.3,2,4358.469,ABCDEE+宋体,10.56,0,char,6,10.56,0,开远市兴远开发投资集团有限公司 ,147.26,TRUE,10.56,267.17,510.7,682.491,693.051,tbl,
84,10.56,189.38,3,4379.589,ABCDEE+宋体,10.56,0,char,6,10.56,0,20开远债01 ,161.3,TRUE,5.28,84.504,238.73,661.371,671.931,tbl,
85,10.56,189.38,3,4379.589,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,161.3,TRUE,10.56,238.73,267.17,661.371,671.931,tbl,
86,10.56,189.38,3,4372.869,ABCDEE+宋体,10.56,0,char,6,10.56,0,2020年开远市兴远开发投资集团有限公司公司债券（品种一） ,161.3,TRUE,5.28,267.17,510.7,654.531,678.651,tbl,
87,10.56,217.34,4,4407.669,ABCDEE+宋体,10.56,0,char,6,10.56,0,21开远债 ,189.38,TRUE,5.28,84.504,238.73,633.291,643.851,tbl,
88,10.56,217.34,4,4407.669,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,189.38,TRUE,10.56,238.73,267.17,633.291,643.851,tbl,
89,10.56,217.34,4,4400.829,ABCDEE+宋体,10.56,0,char,6,10.56,0,2021年开远市兴远开发投资集团有限公司公司债券（品种二） ,189.38,TRUE,5.28,267.17,510.7,626.571,650.691,tbl,
90,10.56,231.74,5,4428.789,ABCDEE+宋体,10.56,0,char,6,10.56,0,银行间 ,217.34,TRUE,10.56,84.504,238.73,612.171,622.731,tbl,
91,10.56,231.74,5,4428.789,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,217.34,TRUE,10.56,238.73,267.17,612.171,622.731,tbl,
92,10.56,231.74,5,4428.789,ABCDEE+宋体,10.56,0,char,6,10.56,0,银行间债券市场 ,217.34,TRUE,10.56,267.17,510.7,612.171,622.731,tbl,
93,10.56,246.02,6,4443.189,ABCDEE+宋体,10.56,0,char,6,10.56,0,国家发改委 ,231.74,TRUE,10.56,84.504,238.73,597.771,608.331,tbl,
94,10.56,246.02,6,4443.189,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,231.74,TRUE,10.56,238.73,267.17,597.771,608.331,tbl,
95,10.56,246.02,6,4443.189,ABCDEE+宋体,10.56,0,char,6,10.56,0,国家发展和改革委员会 ,231.74,TRUE,10.56,267.17,510.7,597.771,608.331,tbl,
96,10.56,260.42,7,4457.469,ABCDEE+宋体,10.56,0,char,6,10.56,0,上交所 ,246.02,TRUE,10.56,84.504,238.73,583.491,594.051,tbl,
97,10.56,260.42,7,4457.469,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,246.02,TRUE,10.56,238.73,267.17,583.491,594.051,tbl,
98,10.56,260.42,7,4457.469,ABCDEE+宋体,10.56,0,char,6,10.56,0,上海证券交易所 ,246.02,TRUE,10.56,267.17,510.7,583.491,594.051,tbl,
99,10.56,274.82,8,4471.869,ABCDEE+宋体,10.56,0,char,6,10.56,0,担保人（20开远债01） ,260.42,TRUE,5.28,84.504,238.73,569.091,579.651,tbl,
100,10.56,274.82,8,4471.869,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,260.42,TRUE,10.56,238.73,267.17,569.091,579.651,tbl,
101,10.56,274.82,8,4471.869,ABCDEE+宋体,10.56,0,char,6,10.56,0,重庆进出口融资担保有限公司 ,260.42,TRUE,10.56,267.17,510.7,569.091,579.651,tbl,
102,10.56,289.13,9,4486.299,ABCDEE+宋体,10.56,0,char,6,10.56,0,担保人（21开远债） ,274.82,TRUE,10.56,84.504,238.73,554.661,565.221,tbl,
103,10.56,289.13,9,4486.299,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,274.82,TRUE,10.56,238.73,267.17,554.661,565.221,tbl,
104,10.56,289.13,9,4486.299,ABCDEE+宋体,10.56,0,char,6,10.56,0,云南省融资担保有限责任公司 ,274.82,TRUE,10.56,267.17,510.7,554.661,565.221,tbl,
105,10.56,303.53,10,4500.699,ABCDEE+宋体,10.56,0,char,6,10.56,0,红塔证券（20开远债01） ,289.13,TRUE,5.28,84.504,238.73,540.261,550.821,tbl,
106,10.56,303.53,10,4500.699,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,289.13,TRUE,10.56,238.73,267.17,540.261,550.821,tbl,
107,10.56,303.53,10,4500.699,ABCDEE+宋体,10.56,0,char,6,10.56,0,红塔证券股份有限公司 ,289.13,TRUE,10.56,267.17,510.7,540.261,550.821,tbl,
108,10.56,317.93,11,4514.979,ABCDEE+宋体,10.56,0,char,6,10.56,0,红塔证券（21开远债） ,303.53,TRUE,10.56,84.504,238.73,525.981,536.541,tbl,
109,10.56,317.93,11,4514.979,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,303.53,TRUE,10.56,238.73,267.17,525.981,536.541,tbl,
110,10.56,317.93,11,4514.979,ABCDEE+宋体,10.56,0,char,6,10.56,0,红塔证券股份有限公司 ,303.53,TRUE,10.56,267.17,510.7,525.981,536.541,tbl,
111,10.56,345.89,12,4529.379,ABCDEE+宋体,10.56,0,char,6,10.56,0,债券受托管理人（20开远债01） ,317.93,TRUE,5.28,84.504,238.73,497.901,522.141,tbl,
112,10.56,345.89,12,4536.219,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,317.93,TRUE,10.56,238.73,267.17,504.741,515.301,tbl,
113,10.56,345.89,12,4536.219,ABCDEE+宋体,10.56,0,char,6,10.56,0,开远市农村信用合作联社 ,317.93,TRUE,10.56,267.17,510.7,504.741,515.301,tbl,
114,10.56,360.29,13,4557.339,ABCDEE+宋体,10.56,0,char,6,10.56,0,债券受托管理人（21开远债） ,345.89,TRUE,10.56,84.504,238.73,483.621,494.181,tbl,
115,10.56,360.29,13,4557.339,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,345.89,TRUE,10.56,238.73,267.17,483.621,494.181,tbl,
116,10.56,360.29,13,4557.339,ABCDEE+宋体,10.56,0,char,6,10.56,0,开远市农村信用合作联社 ,345.89,TRUE,10.56,267.17,510.7,483.621,494.181,tbl,
117,10.56,374.69,14,4571.739,ABCDEE+宋体,10.56,0,char,6,10.56,0,报告期 ,360.29,TRUE,10.56,84.504,238.73,469.221,479.781,tbl,
118,10.56,374.69,14,4571.739,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,360.29,TRUE,10.56,238.73,267.17,469.221,479.781,tbl,
119,10.56,374.69,14,4571.739,ABCDEE+宋体,10.56,0,char,6,10.56,0,2020年1-12月 ,360.29,TRUE,5.28,267.17,510.7,469.221,479.781,tbl,
120,10.56,388.97,15,4586.139,ABCDEE+宋体,10.56,0,char,6,10.56,0,元、万元、亿元 ,374.69,TRUE,10.56,84.504,238.73,454.821,465.381,tbl,
121,10.56,388.97,15,4586.139,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,374.69,TRUE,10.56,238.73,267.17,454.821,465.381,tbl,
122,10.56,388.97,15,4586.139,ABCDEE+宋体,10.56,0,char,6,10.56,0,人民币元、人民币万元、人民币亿元 ,374.69,TRUE,10.56,267.17,510.7,454.821,465.381,tbl,
123,10.56,403.37,16,4600.419,ABCDEE+宋体,10.56,0,char,6,10.56,0,《公司法》 ,388.97,TRUE,10.56,84.504,238.73,440.541,451.101,tbl,
124,10.56,403.37,16,4600.419,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,388.97,TRUE,10.56,238.73,267.17,440.541,451.101,tbl,
125,10.56,403.37,16,4600.419,ABCDEE+宋体,10.56,0,char,6,10.56,0,《中华人民共和国公司法》 ,388.97,TRUE,10.56,267.17,510.7,440.541,451.101,tbl,
126,10.56,417.53,17,4614.819,ABCDEE+宋体,10.56,0,char,6,10.56,0,《证券法》 ,403.37,TRUE,10.56,84.504,238.73,426.141,436.701,tbl,
127,10.56,417.53,17,4614.819,ABCDEE+宋体,10.56,0,char,6,10.56,0,指 ,403.37,TRUE,10.56,238.73,267.17,426.141,436.701,tbl,
128,10.56,417.53,17,4614.819,ABCDEE+宋体,10.56,0,char,6,10.56,0,《中华人民共和国证券法》 ,403.37,TRUE,10.56,267.17,510.7,426.141,436.701,tbl,
129,4.563,792.186,18,4992.786,ABCDEE+Calibri,9,0,char,6,9,0,6,783.186,TRUE,4.563,295.37,299.933,49.734,58.734,para,页脚
130,9,52.869,0,5095.389,ABCDEE+宋体,9,0,char,7,9,0,开远市兴远开发投资集团有限公司公司债券年度报告（2020年）,43.869,TRUE,9,170.42,415.99,788.07,797.07,para,页眉
131,12,85.692,1,5125.212,ABCDEE+宋体,12,0,char,7,12,0,第一节 公司及相关中介机构简介,73.692,TRUE,12,210.41,222.41,756.228,768.228,para,标题1
132,10.56,133.509,2,5174.469,ABCDEE+宋体,10.56,0,char,7,10.56,0,一、 公司基本信息,122.949,TRUE,10.56,89.904,100.464,708.411,718.971,para,标题2
133,10.56,155.42,3,5194.629,ABCDEE+宋体,10.56,0,char,7,10.56,0,中文名称 ,141.38,TRUE,10.56,84.504,203.2668421,688.251,698.811,tbl,
134,10.56,155.42,3,5194.629,ABCDEE+宋体,10.56,0,char,7,10.56,0,开远市兴远开发投资集团有限公司 ,141.38,TRUE,10.56,203.2668421,510.94,688.251,698.811,tbl,
135,10.56,169.58,4,5208.789,ABCDEE+宋体,10.56,0,char,7,10.56,0,中文简称 ,155.42,TRUE,10.56,84.504,203.2668421,674.091,684.651,tbl,
136,10.56,169.58,4,5208.789,ABCDEE+宋体,10.56,0,char,7,10.56,0,开远兴远 ,155.42,TRUE,10.56,203.2668421,510.94,674.091,684.651,tbl,
137,10.56,183.74,5,5222.829,ABCDEE+宋体,10.56,0,char,7,10.56,0,外文名称（如有） ,169.58,TRUE,10.56,84.504,203.2668421,660.051,670.611,tbl,
138,5.28,183.74,5,5222.829,ABCDEE+宋体,10.56,0,char,7,10.56,0,- ,169.58,TRUE,5.28,203.2668421,510.94,660.051,670.611,tbl,
139,10.56,197.78,6,5236.989,ABCDEE+宋体,10.56,0,char,7,10.56,0,外文缩写（如有） ,183.74,TRUE,10.56,84.504,203.2668421,645.891,656.451,tbl,
140,5.28,197.78,6,5236.989,ABCDEE+宋体,10.56,0,char,7,10.56,0,- ,183.74,TRUE,5.28,203.2668421,510.94,645.891,656.451,tbl,
141,10.56,211.94,7,5251.149,ABCDEE+宋体,10.56,0,char,7,10.56,0,法定代表人 ,197.78,TRUE,10.56,84.504,203.2668421,631.731,642.291,tbl,
142,10.56,211.94,7,5251.149,ABCDEE+宋体,10.56,0,char,7,10.56,0,普金 ,197.78,TRUE,10.56,203.2668421,510.94,631.731,642.291,tbl,
143,10.56,226.1,8,5265.189,ABCDEE+宋体,10.56,0,char,7,10.56,0,注册地址 ,211.94,TRUE,10.56,84.504,203.2668421,617.691,628.251,tbl,
144,10.56,226.1,8,5265.189,ABCDEE+宋体,10.56,0,char,7,10.56,0,云南省红河哈尼族彝族自治州 开远市灵泉东路84号 ,211.94,TRUE,5.28,203.2668421,510.94,617.691,628.251,tbl,
145,10.56,240.14,9,5279.349,ABCDEE+宋体,10.56,0,char,7,10.56,0,办公地址 ,226.1,TRUE,10.56,84.504,203.2668421,603.531,614.091,tbl,
