,adv,bottom,cod,cont_num,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,type,upright,width,x0,x1,y0,y1
15,1.000,101.160,1,1,2618.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,重要提示 ..................................................................................................................................................................................................... 2,92.160,cont,True,9.000,42.540,51.540,739.675,749.840
16,1.000,116.760,2,1,2633.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,重大风险提示 ............................................................................................................................................................................................. 3,107.760,cont,True,9.000,42.540,51.540,724.075,734.240
17,1.000,132.360,3,1,2649.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,释义 ............................................................................................................................................................................................................. 5,123.360,cont,True,9.000,42.540,51.540,708.475,718.640
18,1.000,147.960,4,1,2664.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第一节 公司基本情况 ............................................................................................................................................................................... 6,138.960,cont,True,9.000,42.540,51.540,692.875,703.040
19,1.000,163.560,5,2,2680.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、公司基本信息 ............................................................................................................................................................................ 6,154.560,cont,True,9.000,63.540,72.540,677.275,687.440
20,1.000,179.160,6,2,2696.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,二、信息披露事务负责人基本信息 ................................................................................................................................................ 6,170.160,cont,True,9.000,63.540,72.540,661.675,671.840
21,1.000,194.760,7,2,2711.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,三、报告期内控股股东、实际控制人的变更情况 ......................................................................................................................... 7,185.760,cont,True,9.000,63.540,72.540,646.075,656.240
22,1.000,210.360,8,2,2727.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,四、报告期内董事、监事、高级管理人员或履行同等职责人员的变更情况 ............................................................................. 7,201.360,cont,True,9.000,63.540,72.540,630.475,640.640
23,1.000,225.960,9,2,2742.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,五、公司独立性情况 ........................................................................................................................................................................ 8,216.960,cont,True,9.000,63.540,72.540,614.875,625.040
24,1.000,241.560,10,2,2758.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,六、公司合规性情况 ........................................................................................................................................................................ 8,232.560,cont,True,9.000,63.540,72.540,599.275,609.440
25,1.000,257.160,11,2,2774.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,七、公司业务及经营情况 ................................................................................................................................................................ 8,248.160,cont,True,9.000,63.540,72.540,583.675,593.840
26,1.000,272.760,12,1,2789.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第二节 公司信用类债券基本情况 ............................................................................................................................................................ 13,263.760,cont,True,9.000,42.540,51.540,568.075,578.240
27,1.000,288.360,13,2,2805.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、公司信用类债券基本信息 ........................................................................................................................................................ 13,279.360,cont,True,9.000,63.540,72.540,552.475,562.640
28,1.000,303.960,14,2,2820.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,二、公司债券募集资金使用情况 .................................................................................................................................................... 17,294.960,cont,True,9.000,63.540,72.540,536.875,547.040
29,1.000,319.560,15,2,2836.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,三、报告期内公司债券募集资金用途变更情况 ............................................................................................................................. 19,310.560,cont,True,9.000,63.540,72.540,521.275,531.440
30,1.000,335.160,16,2,2852.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,四、报告期内公司信用类债券评级调整情况 ................................................................................................................................. 19,326.160,cont,True,9.000,63.540,72.540,505.675,515.840
31,1.000,350.760,17,2,2867.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,五、增信措施情况 ............................................................................................................................................................................ 20,341.760,cont,True,9.000,63.540,72.540,490.075,500.240
32,1.000,366.360,18,1,2883.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第三节 报告期内重要事项 ....................................................................................................................................................................... 21,357.360,cont,True,9.000,42.540,51.540,474.475,484.640
33,1.000,381.960,19,2,2898.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、审计情况 .................................................................................................................................................................................... 21,372.960,cont,True,9.000,63.540,72.540,458.875,469.040
34,1.000,397.560,20,2,2914.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,二、会计政策、会计估计变更和重大会计差错更正情况 ............................................................................................................. 21,388.560,cont,True,9.000,63.540,72.540,443.275,453.440
35,1.000,413.160,21,2,2930.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,三、合并报表范围变化情况 ............................................................................................................................................................ 21,404.160,cont,True,9.000,63.540,72.540,427.675,437.840
36,1.000,428.760,22,2,2945.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,四、报告期内亏损情况 .................................................................................................................................................................... 22,419.760,cont,True,9.000,63.540,72.540,412.075,422.240
37,1.000,444.360,23,2,2961.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,五、资产受限情况 ............................................................................................................................................................................ 22,435.360,cont,True,9.000,63.540,72.540,396.475,406.640
38,1.000,459.960,24,2,2976.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,六、可对抗第三人的优先偿付负债情况 ......................................................................................................................................... 22,450.960,cont,True,9.000,63.540,72.540,380.875,391.040
39,1.000,475.560,25,2,2992.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,七、资金占款情况 ............................................................................................................................................................................ 22,466.560,cont,True,9.000,63.540,72.540,365.275,375.440
40,1.000,491.160,26,2,3008.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,八、有息负债逾期和变动情况 ........................................................................................................................................................ 23,482.160,cont,True,9.000,63.540,72.540,349.675,359.840
41,1.000,506.760,27,2,3023.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,九、对外担保情况 ............................................................................................................................................................................ 23,497.760,cont,True,9.000,63.540,72.540,334.075,344.240
42,1.000,522.360,28,2,3039.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,十、重大未决诉讼情况 .................................................................................................................................................................... 23,513.360,cont,True,9.000,63.540,72.540,318.475,328.640
43,1.000,537.960,29,2,3054.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,十一、信息披露事务管理制度变更情况 ......................................................................................................................................... 36,528.960,cont,True,9.000,63.540,72.540,302.875,313.040
44,1.000,553.560,30,1,3070.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第四节 创新债券特别事项 ....................................................................................................................................................................... 37,544.560,cont,True,9.000,42.540,51.540,287.275,297.440
45,1.000,569.160,31,2,3086.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、发行人为可交换债券发行人 .................................................................................................................................................... 37,560.160,cont,True,9.000,63.540,72.540,271.675,281.840
46,1.000,584.760,32,2,3101.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,二、发行人为绿色公司债券发行人 ................................................................................................................................................ 37,575.760,cont,True,9.000,63.540,72.540,256.075,266.240
47,1.000,600.360,33,2,3117.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,三、发行人为可续期公司债券发行人 ............................................................................................................................................ 37,591.360,cont,True,9.000,63.540,72.540,240.475,250.640
48,1.000,615.960,34,2,3132.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,四、发行人为扶贫公司债券发行人 ................................................................................................................................................ 37,606.960,cont,True,9.000,63.540,72.540,224.875,235.040
49,1.000,631.560,35,2,3148.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,五、发行人为一带一路公司债券发行人 ......................................................................................................................................... 37,622.560,cont,True,9.000,63.540,72.540,209.275,219.440
50,1.000,647.160,36,1,3164.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第五节 向普通投资者披露的信息 ............................................................................................................................................................ 38,638.160,cont,True,9.000,42.540,51.540,193.675,203.840
51,1.000,662.760,37,1,3179.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第六节 财务报告 ....................................................................................................................................................................................... 39,653.760,cont,True,9.000,42.540,51.540,178.075,188.240
52,1.000,678.360,38,2,3195.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、财务报表 .................................................................................................................................................................................... 39,669.360,cont,True,9.000,63.540,72.540,162.475,172.640
53,1.000,693.960,39,1,3210.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第七节 发行人认为应当披露的其他事项 ................................................................................................................................................ 57,684.960,cont,True,9.000,42.540,51.540,146.875,157.040
54,1.000,709.560,40,1,3226.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第八节 备查文件 ....................................................................................................................................................................................... 58,700.560,cont,True,9.000,42.540,51.540,131.275,141.440
55,1.000,82.462,0,1,3434.442,HIMGAO+SimSun,16.020,0,char,5,16.020,0,释义,66.442,para,True,16.020,278.520,294.540,759.538,775.558
56,1.000,146.940,1,,3502.850,HIMFLA+FangSong,10.500,0,char,5,10.500,0,释义项 ,133.320,tbl,True,10.500,42.560625,285.2709677419354838709677419,696.650,707.150
57,1.000,146.940,1,,3502.850,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,133.320,tbl,True,10.500,285.2709677419354838709677419,310.005,696.650,707.150
58,1.000,145.350,1,0,3502.850,HIMFLA+FangSong,10.500,0,char,5,10.500,0,释义内容,134.850,para,True,10.500,410.460,420.960,696.650,707.150
59,1.000,166.770,2,0,3524.270,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市资本运营集团有限公司，曾用名：深圳市远致,156.270,para,True,10.500,310.680,321.180,675.230,685.730
60,1.000,182.475,3,,3531.110,HIMFLA+FangSong,10.500,0,char,5,10.500,0,公司、本公司 ,154.236,tbl,True,10.500,42.560625,285.2709677419354838709677419,668.390,678.890
61,1.000,175.200,3,,3531.110,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,161.580,tbl,True,10.500,285.2709677419354838709677419,310.005,668.390,678.890
62,1.000,180.390,4,0,3537.890,HIMFLA+FangSong,10.500,0,char,5,10.500,0,投资有限公司,169.890,para,True,10.500,310.680,321.180,661.610,672.110
63,0.500,195.030,5,0,3552.530,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市远致投资有限公司2018年面向合格投资者公,184.530,para,True,5.250,310.680,462.963,646.970,657.470
64,1.000,210.720,6,,3559.310,HIMFLA+FangSong,10.500,0,char,5,10.500,0,18远致01 ,182.475,tbl,True,5.250,42.560625,285.2709677419354838709677419,640.190,650.690
65,1.000,203.400,6,,3559.310,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,189.780,tbl,True,10.500,285.2709677419354838709677419,310.005,640.190,650.690
66,1.000,208.649,7,0,3566.149,HIMFLA+FangSong,10.500,0,char,5,10.500,0,开发行公司债券（第一期）,198.149,para,True,10.500,310.680,321.180,633.351,643.851
67,0.500,223.290,8,0,3580.790,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市资本运营集团有限公司2020年面向合格投资,212.790,para,True,5.250,310.680,483.899,618.710,629.210
68,1.000,238.980,9,,3587.570,HIMFLA+FangSong,10.500,0,char,5,10.500,0,20深资01 ,210.720,tbl,True,5.250,42.560625,285.2709677419354838709677419,611.930,622.430
69,1.000,231.660,9,,3587.570,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,218.040,tbl,True,10.500,285.2709677419354838709677419,310.005,611.930,622.430
70,1.000,236.909,10,0,3594.409,HIMFLA+FangSong,10.500,0,char,5,10.500,0,者公开发行公司债券（第一期）,226.409,para,True,10.500,310.680,321.180,605.091,615.591
71,0.500,251.550,11,0,3609.050,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市资本运营集团有限公司2021年面向专业投资,241.050,para,True,5.250,310.680,483.899,590.450,600.950
72,1.000,267.240,12,,3615.830,HIMFLA+FangSong,10.500,0,char,5,10.500,0,21深资01 ,238.980,tbl,True,5.250,42.560625,285.2709677419354838709677419,583.670,594.170
73,1.000,259.920,12,,3615.830,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,246.300,tbl,True,10.500,285.2709677419354838709677419,310.005,583.670,594.170
74,1.000,265.169,13,0,3622.669,HIMFLA+FangSong,10.500,0,char,5,10.500,0,者公开发行公司债券（第一期）,254.669,para,True,10.500,310.680,321.180,576.831,587.331
75,0.500,279.750,14,0,3637.250,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市资本运营集团有限公司2020年度第一期中期,269.250,para,True,5.250,310.680,483.899,562.250,572.750
76,1.000,295.500,15,,3644.090,HIMFLA+FangSong,10.500,0,char,5,10.500,0,20深圳资本MTN001 ,267.240,tbl,True,5.250,42.560625,285.2709677419354838709677419,555.410,565.910
77,1.000,288.180,15,,3644.090,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,274.560,tbl,True,10.500,285.2709677419354838709677419,310.005,555.410,565.910
78,1.000,293.370,16,0,3650.870,HIMFLA+FangSong,10.500,0,char,5,10.500,0,票据,282.870,para,True,10.500,310.680,321.180,548.630,559.130
79,0.500,307.650,17,0,3665.150,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指《深圳市资本运营集团有限公司2020年度第一期,297.150,para,True,5.250,310.680,504.937,534.350,544.850
80,1.000,321.270,18,0,3678.770,HIMFLA+FangSong,10.500,0,char,5,10.500,0,中期票据募集说明书》、《深圳市资本运营集团有限公,310.770,para,True,10.500,310.680,321.180,520.730,531.230
81,0.500,334.889,19,0,3692.389,HIMFLA+FangSong,10.500,0,char,5,10.500,0,司2021年面向专业投资者公开发行公司债券（第一,324.389,para,True,5.250,310.680,358.012,507.111,517.611
82,1.000,348.509,20,0,3706.009,HIMFLA+FangSong,10.500,0,char,5,10.500,0,期）募集说明书》、《深圳市资本运营集团有限公司,338.009,para,True,10.500,310.680,321.180,493.491,503.991
83,1.000,404.700,21,,3712.790,HIMFLA+FangSong,10.500,0,char,5,10.500,0,募集说明书 ,295.500,tbl,True,10.500,42.560625,285.2709677419354838709677419,486.710,497.210
84,1.000,356.880,21,,3712.790,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,343.260,tbl,True,10.500,285.2709677419354838709677419,310.005,486.710,497.210
85,0.500,362.128,22,0,3719.628,HIMFLA+FangSong,10.500,0,char,5,10.500,0,2020年面向合格投资者公开发行公司债券（第一,351.628,para,True,5.250,310.682,344.861,479.872,490.372
86,1.000,375.748,23,0,3733.248,HIMFLA+FangSong,10.500,0,char,5,10.500,0,期）募集说明书》及《深圳市远致投资有限公司,365.248,para,True,10.500,310.682,321.182,466.252,476.752
87,0.500,389.367,24,0,3746.867,HIMFLA+FangSong,10.500,0,char,5,10.500,0,2018年面向合格投资者公开发行公司债券(第一期),378.867,para,True,5.250,310.682,344.861,452.633,463.133
88,1.000,402.987,25,0,3760.487,HIMFLA+FangSong,10.500,0,char,5,10.500,0,募集说明书》,392.487,para,True,10.500,310.682,321.182,439.013,449.513
89,1.000,432.915,26,,3781.550,HIMFLA+FangSong,10.500,0,char,5,10.500,0,牵头主承销商、万和证券 ,404.700,tbl,True,10.500,42.560625,285.2709677419354838709677419,417.950,428.450
90,1.000,425.640,26,,3781.550,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,412.020,tbl,True,10.500,285.2709677419354838709677419,310.005,417.950,428.450
91,1.000,424.050,26,0,3781.550,HIMFLA+FangSong,10.500,0,char,5,10.500,0,万和证券股份有限公司,413.550,para,True,10.500,310.680,321.180,417.950,428.450
92,1.000,461.160,27,,3809.750,HIMFLA+FangSong,10.500,0,char,5,10.500,0,联席主承销商、债券受托管理人、国信证券 ,432.915,tbl,True,10.500,42.560625,285.2709677419354838709677419,389.750,400.250
93,1.000,453.840,27,,3809.750,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,440.220,tbl,True,10.500,285.2709677419354838709677419,310.005,389.750,400.250
94,1.000,452.250,27,0,3809.750,HIMFLA+FangSong,10.500,0,char,5,10.500,0,国信证券股份有限公司,441.750,para,True,10.500,310.680,321.180,389.750,400.250
95,1.000,473.310,28,0,3830.810,HIMFLA+FangSong,10.500,0,char,5,10.500,0,本公司根据有关法律、法规为发行公司债券而制作的,462.810,para,True,10.500,310.680,321.180,368.690,379.190
96,1.000,502.260,29,,3844.430,HIMFLA+FangSong,10.500,0,char,5,10.500,0,本报告、本半年度报告 ,461.160,tbl,True,10.500,42.560625,285.2709677419354838709677419,355.070,365.570
97,1.000,488.520,29,,3844.430,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,474.900,tbl,True,10.500,285.2709677419354838709677419,310.005,355.070,365.570
98,0.500,486.930,29,0,3844.430,HIMFLA+FangSong,10.500,0,char,5,10.500,0,《深圳市资本运营集团有限公司公司债券2021年半,476.430,para,True,5.250,310.680,536.388,355.070,365.570
99,1.000,500.549,30,0,3858.049,HIMFLA+FangSong,10.500,0,char,5,10.500,0,年度报告》,490.049,para,True,10.500,310.680,321.180,341.451,351.951
100,1.000,530.520,31,,3879.110,HIMFLA+FangSong,10.500,0,char,5,10.500,0,中国证监会、证监会 ,502.260,tbl,True,10.500,42.560625,285.2709677419354838709677419,320.390,330.890
101,1.000,523.200,31,,3879.110,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,509.580,tbl,True,10.500,285.2709677419354838709677419,310.005,320.390,330.890
102,1.000,521.610,31,0,3879.110,HIMFLA+FangSong,10.500,0,char,5,10.500,0,中国证券监督管理委员会,511.110,para,True,10.500,310.680,321.180,320.390,330.890
103,1.000,558.780,32,,3907.370,HIMFLA+FangSong,10.500,0,char,5,10.500,0,审计机构、会计师事务所 ,530.520,tbl,True,10.500,42.560625,285.2709677419354838709677419,292.130,302.630
104,1.000,551.460,32,,3907.370,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,537.840,tbl,True,10.500,285.2709677419354838709677419,310.005,292.130,302.630
105,1.000,549.870,32,0,3907.370,HIMFLA+FangSong,10.500,0,char,5,10.500,0,天职国际会计师事务所（特殊普通合伙）,539.370,para,True,10.500,310.680,321.180,292.130,302.630
106,1.000,571.290,33,0,3928.790,HIMFLA+FangSong,10.500,0,char,5,10.500,0,中诚信证券评估有限公司，或中诚信国际信用评级有,560.790,para,True,10.500,310.680,321.180,270.710,281.210
107,1.000,587.040,34,,3935.630,HIMFLA+FangSong,10.500,0,char,5,10.500,0,资信评级机构、评级机构 ,558.780,tbl,True,10.500,42.560625,285.2709677419354838709677419,263.870,274.370
108,1.000,579.720,34,,3935.630,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,566.100,tbl,True,10.500,285.2709677419354838709677419,310.005,263.870,274.370
109,1.000,584.910,35,0,3942.410,HIMFLA+FangSong,10.500,0,char,5,10.500,0,限责任公司,574.410,para,True,10.500,310.680,321.180,257.090,267.590
110,1.000,615.300,36,,3963.890,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市国资委 ,587.040,tbl,True,10.500,42.560625,285.2709677419354838709677419,235.610,246.110
111,1.000,607.980,36,,3963.890,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,594.360,tbl,True,10.500,285.2709677419354838709677419,310.005,235.610,246.110
112,1.000,606.390,36,0,3963.890,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市人民政府国有资产监督管理委员会,595.890,para,True,10.500,310.680,321.180,235.610,246.110
113,1.000,643.524,37,,3992.150,HIMFLA+FangSong,10.500,0,char,5,10.500,0,元/万元/亿元 ,615.300,tbl,True,10.500,42.560625,285.2709677419354838709677419,207.350,217.850
114,1.000,636.240,37,,3992.150,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指 ,622.620,tbl,True,10.500,285.2709677419354838709677419,310.005,207.350,217.850
115,1.000,634.650,37,0,3992.150,HIMFLA+FangSong,10.500,0,char,5,10.500,0,元人民币/万元人民币/亿元人民币,624.150,para,True,10.500,310.684,321.184,207.350,217.850
116,1.000,667.530,38,0,4025.030,HIMFLA+FangSong,10.500,0,char,5,10.500,0,注：本报告中，部分合计数与各加数直接相加之和因四舍五入在尾数上略有差异，并非计算错误。,657.030,para,True,10.500,42.540,53.040,174.470,184.970
117,,133.320,39,,,,,,,,,,,126.060,tbl,,,42.560625,285.2709677419354838709677419,,
118,,154.236,39,,,,,,,,,,,146.940,tbl,,,42.560625,285.2709677419354838709677419,,
119,,133.320,39,,,,,,,,,,,126.060,tbl,,,285.2709677419354838709677419,310.005,,
120,,154.236,39,,,,,,,,,,,146.940,tbl,,,285.2709677419354838709677419,310.005,,
121,,161.580,39,,,,,,,,,,,154.236,tbl,,,285.2709677419354838709677419,310.005,,
122,,182.475,39,,,,,,,,,,,175.200,tbl,,,285.2709677419354838709677419,310.005,,
123,,189.780,39,,,,,,,,,,,182.475,tbl,,,285.2709677419354838709677419,310.005,,
124,,210.720,39,,,,,,,,,,,203.400,tbl,,,285.2709677419354838709677419,310.005,,
125,,218.040,39,,,,,,,,,,,210.720,tbl,,,285.2709677419354838709677419,310.005,,
126,,238.980,39,,,,,,,,,,,231.660,tbl,,,285.2709677419354838709677419,310.005,,
127,,246.300,39,,,,,,,,,,,238.980,tbl,,,285.2709677419354838709677419,310.005,,
128,,267.240,39,,,,,,,,,,,259.920,tbl,,,285.2709677419354838709677419,310.005,,
129,,274.560,39,,,,,,,,,,,267.240,tbl,,,285.2709677419354838709677419,310.005,,
130,,295.500,39,,,,,,,,,,,288.180,tbl,,,285.2709677419354838709677419,310.005,,
131,,343.260,39,,,,,,,,,,,295.500,tbl,,,285.2709677419354838709677419,310.005,,
132,,404.700,39,,,,,,,,,,,356.880,tbl,,,285.2709677419354838709677419,310.005,,
133,,412.020,39,,,,,,,,,,,404.700,tbl,,,285.2709677419354838709677419,310.005,,
134,,432.915,39,,,,,,,,,,,425.640,tbl,,,285.2709677419354838709677419,310.005,,
135,,440.220,39,,,,,,,,,,,432.915,tbl,,,285.2709677419354838709677419,310.005,,
136,,461.160,39,,,,,,,,,,,453.840,tbl,,,285.2709677419354838709677419,310.005,,
137,,474.900,39,,,,,,,,,,,461.160,tbl,,,285.2709677419354838709677419,310.005,,
138,,502.260,39,,,,,,,,,,,488.520,tbl,,,285.2709677419354838709677419,310.005,,
139,,509.580,39,,,,,,,,,,,502.260,tbl,,,285.2709677419354838709677419,310.005,,
140,,530.520,39,,,,,,,,,,,523.200,tbl,,,285.2709677419354838709677419,310.005,,
141,,537.840,39,,,,,,,,,,,530.520,tbl,,,285.2709677419354838709677419,310.005,,
142,,558.780,39,,,,,,,,,,,551.460,tbl,,,285.2709677419354838709677419,310.005,,
143,,566.100,39,,,,,,,,,,,558.780,tbl,,,285.2709677419354838709677419,310.005,,
144,,587.040,39,,,,,,,,,,,579.720,tbl,,,285.2709677419354838709677419,310.005,,
145,,594.360,39,,,,,,,,,,,587.040,tbl,,,285.2709677419354838709677419,310.005,,
146,,615.300,39,,,,,,,,,,,607.980,tbl,,,285.2709677419354838709677419,310.005,,
147,,622.620,39,,,,,,,,,,,615.300,tbl,,,285.2709677419354838709677419,310.005,,
148,,643.524,39,,,,,,,,,,,636.240,tbl,,,285.2709677419354838709677419,310.005,,
149,1.000,82.522,0,1,4276.502,HIMGAO+SimSun,16.020,0,char,6,16.020,0,第一节 公司基本情况,66.502,para,True,16.020,218.280,234.300,759.478,775.498
150,1.000,109.980,1,2,4307.980,HIMIJC+SimHei,12.000,0,char,6,12.000,0,一、公司基本信息,97.980,para,True,12.000,42.540,54.540,732.020,744.020
151,1.000,164.940,2,,4362.850,HIMFLA+FangSong,10.500,0,char,6,10.500,0,中文名称 ,151.320,tbl,True,10.500,42.705,242.355,678.650,689.150
152,1.000,172.260,2,,4362.850,HIMFLA+FangSong,10.500,0,char,6,10.500,0,深圳市资本运营集团有限公司 ,144.040,tbl,True,10.500,242.355,552.720,678.650,689.150
153,1.000,193.200,3,,4391.110,HIMFLA+FangSong,10.500,0,char,6,10.500,0,中文简称 ,179.580,tbl,True,10.500,42.705,242.355,650.390,660.890
154,1.000,200.475,3,,4391.110,HIMFLA+FangSong,10.500,0,char,6,10.500,0,深圳资本集团 ,172.260,tbl,True,10.500,242.355,552.720,650.390,660.890
155,1.000,221.400,4,,4419.310,HIMFLA+FangSong,10.500,0,char,6,10.500,0,外文名称（如有） ,207.780,tbl,True,10.500,42.705,242.355,622.190,632.690
156,0.500,228.720,4,,4419.310,HIMFLA+FangSong,10.500,0,char,6,10.500,0,"SHENZHEN CAPITAL HOLDINGS CO., LTD ",200.475,tbl,True,5.250,242.355,552.720,622.190,632.690
157,1.000,249.660,5,,4447.570,HIMFLA+FangSong,10.500,0,char,6,10.500,0,外文名称缩写（如有） ,236.040,tbl,True,10.500,42.705,242.355,593.930,604.430
158,0.500,256.980,5,,4447.570,HIMFLA+FangSong,10.500,0,char,6,10.500,0, ,228.720,tbl,True,5.250,242.355,552.720,593.930,604.430
