adv,bottom,cod,doctop,height,non_stroking_color,page_number,size,stroking_color,top,width,x0,x1,y0,y1,len_str,is_mulu,is_biaoti,is_ymyj,text
1.0,194.76,15.0,2711.76,9.0,0.0,4.0,9.0,0.0,185.76,9.0,63.54,72.54,647.24,656.24,21,0,1,2,三、报告期内控股股东、实际控制人的变更情况
1.0,194.76,16.0,2711.76,9.0,0.0,4.0,9.0,0.0,185.76,9.0,63.54,72.54,646.075,656.24,145,1,1,2,三、报告期内控股股东、实际控制人的变更情况 ......................................................................................................................... 7
1.0,210.36,17.0,2727.36,9.0,0.0,4.0,9.0,0.0,201.36,9.0,63.54,72.54,631.64,640.64,32,0,1,2,四、报告期内董事、监事、高级管理人员或履行同等职责人员的变更情况
1.0,210.36,18.0,2727.36,9.0,0.0,4.0,9.0,0.0,201.36,9.0,63.54,72.54,630.475,640.64,112,1,1,2,四、报告期内董事、监事、高级管理人员或履行同等职责人员的变更情况 ............................................................................. 7
1.0,225.96,19.0,2742.96,9.0,0.0,4.0,9.0,0.0,216.96,9.0,63.54,72.54,616.04,625.04,9,0,1,2,五、公司独立性情况
1.0,225.96,20.0,2742.96,9.0,0.0,4.0,9.0,0.0,216.96,9.0,63.54,72.54,614.875,625.04,180,1,1,2,五、公司独立性情况 ........................................................................................................................................................................ 8
1.0,241.56,21.0,2758.56,9.0,0.0,4.0,9.0,0.0,232.56,9.0,63.54,72.54,600.44,609.44,9,0,1,2,六、公司合规性情况
1.0,241.56,22.0,2758.56,9.0,0.0,4.0,9.0,0.0,232.56,9.0,63.54,72.54,599.275,609.44,180,1,1,2,六、公司合规性情况 ........................................................................................................................................................................ 8
1.0,257.16,23.0,2774.16,9.0,0.0,4.0,9.0,0.0,248.16,9.0,63.54,72.54,584.84,593.84,11,0,1,2,七、公司业务及经营情况
1.0,257.16,24.0,2774.16,9.0,0.0,4.0,9.0,0.0,248.16,9.0,63.54,72.54,583.675,593.84,174,1,1,2,七、公司业务及经营情况 ................................................................................................................................................................ 8
1.0,272.76,25.0,2789.76,9.0,0.0,4.0,9.0,0.0,263.76,9.0,42.54,51.54,569.24,578.24,15,0,0,2,第二节 公司信用类债券基本情况
1.0,272.76,26.0,2789.76,9.0,0.0,4.0,9.0,0.0,263.76,9.0,42.54,51.54,568.075,578.24,175,1,0,2,第二节 公司信用类债券基本情况 ............................................................................................................................................................ 13
1.0,288.36,27.0,2805.36,9.0,0.0,4.0,9.0,0.0,279.36,9.0,63.54,72.54,553.64,562.64,13,0,1,2,一、公司信用类债券基本信息
1.0,288.36,28.0,2805.36,9.0,0.0,4.0,9.0,0.0,279.36,9.0,63.54,72.54,552.475,562.64,169,1,1,2,一、公司信用类债券基本信息 ........................................................................................................................................................ 13
1.0,303.96,29.0,2820.96,9.0,0.0,4.0,9.0,0.0,294.96,9.0,63.54,72.54,538.04,547.04,14,0,1,2,二、公司债券募集资金使用情况
1.0,303.96,30.0,2820.96,9.0,0.0,4.0,9.0,0.0,294.96,9.0,63.54,72.54,536.875,547.04,166,1,1,2,二、公司债券募集资金使用情况 .................................................................................................................................................... 17
1.0,319.56,31.0,2836.56,9.0,0.0,4.0,9.0,0.0,310.56,9.0,63.54,72.54,522.44,531.44,20,0,1,2,三、报告期内公司债券募集资金用途变更情况
1.0,319.56,32.0,2836.56,9.0,0.0,4.0,9.0,0.0,310.56,9.0,63.54,72.54,521.275,531.44,149,1,1,2,三、报告期内公司债券募集资金用途变更情况 ............................................................................................................................. 19
1.0,335.16,33.0,2852.16,9.0,0.0,4.0,9.0,0.0,326.16,9.0,63.54,72.54,506.84,515.84,19,0,1,2,四、报告期内公司信用类债券评级调整情况
1.0,335.16,34.0,2852.16,9.0,0.0,4.0,9.0,0.0,326.16,9.0,63.54,72.54,505.675,515.84,152,1,1,2,四、报告期内公司信用类债券评级调整情况 ................................................................................................................................. 19
1.0,350.76,35.0,2867.76,9.0,0.0,4.0,9.0,0.0,341.76,9.0,63.54,72.54,491.24,500.24,8,0,1,2,五、增信措施情况
1.0,350.76,36.0,2867.76,9.0,0.0,4.0,9.0,0.0,341.76,9.0,63.54,72.54,490.075,500.24,184,1,1,2,五、增信措施情况 ............................................................................................................................................................................ 20
1.0,366.36,37.0,2883.36,9.0,0.0,4.0,9.0,0.0,357.36,9.0,42.54,51.54,475.64,484.64,12,0,0,2,第三节 报告期内重要事项
1.0,366.36,38.0,2883.36,9.0,0.0,4.0,9.0,0.0,357.36,9.0,42.54,51.54,474.475,484.64,183,1,0,2,第三节 报告期内重要事项 ....................................................................................................................................................................... 21
1.0,381.96,39.0,2898.96,9.0,0.0,4.0,9.0,0.0,372.96,9.0,63.54,72.54,460.04,469.04,6,0,1,2,一、审计情况
1.0,381.96,40.0,2898.96,9.0,0.0,4.0,9.0,0.0,372.96,9.0,63.54,72.54,458.875,469.04,190,1,1,2,一、审计情况 .................................................................................................................................................................................... 21
1.0,397.56,41.0,2914.56,9.0,0.0,4.0,9.0,0.0,388.56,9.0,63.54,72.54,444.44,453.44,24,0,1,2,二、会计政策、会计估计变更和重大会计差错更正情况
1.0,397.56,42.0,2914.56,9.0,0.0,4.0,9.0,0.0,388.56,9.0,63.54,72.54,443.275,453.44,137,1,1,2,二、会计政策、会计估计变更和重大会计差错更正情况 ............................................................................................................. 21
1.0,413.16,43.0,2930.16,9.0,0.0,4.0,9.0,0.0,404.16,9.0,63.54,72.54,428.84,437.84,12,0,1,2,三、合并报表范围变化情况
1.0,413.16,44.0,2930.16,9.0,0.0,4.0,9.0,0.0,404.16,9.0,63.54,72.54,427.675,437.84,172,1,1,2,三、合并报表范围变化情况 ............................................................................................................................................................ 21
1.0,428.76,45.0,2945.76,9.0,0.0,4.0,9.0,0.0,419.76,9.0,63.54,72.54,413.24,422.24,10,0,1,2,四、报告期内亏损情况
1.0,428.76,46.0,2945.76,9.0,0.0,4.0,9.0,0.0,419.76,9.0,63.54,72.54,412.075,422.24,178,1,1,2,四、报告期内亏损情况 .................................................................................................................................................................... 22
1.0,444.36,47.0,2961.36,9.0,0.0,4.0,9.0,0.0,435.36,9.0,63.54,72.54,397.64,406.64,8,0,1,2,五、资产受限情况
1.0,444.36,48.0,2961.36,9.0,0.0,4.0,9.0,0.0,435.36,9.0,63.54,72.54,396.475,406.64,184,1,1,2,五、资产受限情况 ............................................................................................................................................................................ 22
1.0,459.96,49.0,2976.96,9.0,0.0,4.0,9.0,0.0,450.96,9.0,63.54,72.54,382.04,391.04,17,0,1,2,六、可对抗第三人的优先偿付负债情况
1.0,459.96,50.0,2976.96,9.0,0.0,4.0,9.0,0.0,450.96,9.0,63.54,72.54,380.875,391.04,158,1,1,2,六、可对抗第三人的优先偿付负债情况 ......................................................................................................................................... 22
1.0,475.56,51.0,2992.56,9.0,0.0,4.0,9.0,0.0,466.56,9.0,63.54,72.54,366.44,375.44,8,0,1,2,七、资金占款情况
1.0,475.56,52.0,2992.56,9.0,0.0,4.0,9.0,0.0,466.56,9.0,63.54,72.54,365.275,375.44,184,1,1,2,七、资金占款情况 ............................................................................................................................................................................ 22
1.0,491.16,53.0,3008.16,9.0,0.0,4.0,9.0,0.0,482.16,9.0,63.54,72.54,350.84,359.84,13,0,1,2,八、有息负债逾期和变动情况
1.0,491.16,54.0,3008.16,9.0,0.0,4.0,9.0,0.0,482.16,9.0,63.54,72.54,349.675,359.84,169,1,1,2,八、有息负债逾期和变动情况 ........................................................................................................................................................ 23
1.0,506.76,55.0,3023.76,9.0,0.0,4.0,9.0,0.0,497.76,9.0,63.54,72.54,335.24,344.24,8,0,1,2,九、对外担保情况
1.0,506.76,56.0,3023.76,9.0,0.0,4.0,9.0,0.0,497.76,9.0,63.54,72.54,334.075,344.24,184,1,1,2,九、对外担保情况 ............................................................................................................................................................................ 23
1.0,522.36,57.0,3039.36,9.0,0.0,4.0,9.0,0.0,513.36,9.0,63.54,72.54,319.64,328.64,10,0,1,2,十、重大未决诉讼情况
1.0,522.36,58.0,3039.36,9.0,0.0,4.0,9.0,0.0,513.36,9.0,63.54,72.54,318.475,328.64,178,1,1,2,十、重大未决诉讼情况 .................................................................................................................................................................... 23
1.0,537.96,59.0,3054.96,9.0,0.0,4.0,9.0,0.0,528.96,9.0,63.54,72.54,304.04,313.04,17,0,1,2,十一、信息披露事务管理制度变更情况
1.0,537.96,60.0,3054.96,9.0,0.0,4.0,9.0,0.0,528.96,9.0,63.54,72.54,302.875,313.04,158,1,1,2,十一、信息披露事务管理制度变更情况 ......................................................................................................................................... 36
1.0,553.56,61.0,3070.56,9.0,0.0,4.0,9.0,0.0,544.56,9.0,42.54,51.54,288.44,297.44,12,0,0,2,第四节 创新债券特别事项
1.0,553.56,62.0,3070.56,9.0,0.0,4.0,9.0,0.0,544.56,9.0,42.54,51.54,287.275,297.44,183,1,0,2,第四节 创新债券特别事项 ....................................................................................................................................................................... 37
1.0,569.16,63.0,3086.16,9.0,0.0,4.0,9.0,0.0,560.16,9.0,63.54,72.54,272.84,281.84,14,0,1,2,一、发行人为可交换债券发行人
1.0,569.16,64.0,3086.16,9.0,0.0,4.0,9.0,0.0,560.16,9.0,63.54,72.54,271.675,281.84,166,1,1,2,一、发行人为可交换债券发行人 .................................................................................................................................................... 37
1.0,584.76,65.0,3101.76,9.0,0.0,4.0,9.0,0.0,575.76,9.0,63.54,72.54,257.24,266.24,15,0,1,2,二、发行人为绿色公司债券发行人
1.0,584.76,66.0,3101.76,9.0,0.0,4.0,9.0,0.0,575.76,9.0,63.54,72.54,256.075,266.24,163,1,1,2,二、发行人为绿色公司债券发行人 ................................................................................................................................................ 37
1.0,600.36,67.0,3117.36,9.0,0.0,4.0,9.0,0.0,591.36,9.0,63.54,72.54,241.64,250.64,16,0,1,2,三、发行人为可续期公司债券发行人
1.0,600.36,68.0,3117.36,9.0,0.0,4.0,9.0,0.0,591.36,9.0,63.54,72.54,240.475,250.64,160,1,1,2,三、发行人为可续期公司债券发行人 ............................................................................................................................................ 37
1.0,615.96,69.0,3132.96,9.0,0.0,4.0,9.0,0.0,606.96,9.0,63.54,72.54,226.04,235.04,15,0,1,2,四、发行人为扶贫公司债券发行人
1.0,615.96,70.0,3132.96,9.0,0.0,4.0,9.0,0.0,606.96,9.0,63.54,72.54,224.875,235.04,163,1,1,2,四、发行人为扶贫公司债券发行人 ................................................................................................................................................ 37
1.0,631.56,71.0,3148.56,9.0,0.0,4.0,9.0,0.0,622.56,9.0,63.54,72.54,210.44,219.44,17,0,1,2,五、发行人为一带一路公司债券发行人
1.0,631.56,72.0,3148.56,9.0,0.0,4.0,9.0,0.0,622.56,9.0,63.54,72.54,209.275,219.44,158,1,1,2,五、发行人为一带一路公司债券发行人 ......................................................................................................................................... 37
1.0,647.16,73.0,3164.16,9.0,0.0,4.0,9.0,0.0,638.16,9.0,42.54,51.54,194.84,203.84,15,0,0,2,第五节 向普通投资者披露的信息
1.0,647.16,74.0,3164.16,9.0,0.0,4.0,9.0,0.0,638.16,9.0,42.54,51.54,193.675,203.84,175,1,0,2,第五节 向普通投资者披露的信息 ............................................................................................................................................................ 38
1.0,662.76,75.0,3179.76,9.0,0.0,4.0,9.0,0.0,653.76,9.0,42.54,51.54,179.24,188.24,8,0,0,2,第六节 财务报告
1.0,662.76,76.0,3179.76,9.0,0.0,4.0,9.0,0.0,653.76,9.0,42.54,51.54,178.075,188.24,195,1,0,2,第六节 财务报告 ....................................................................................................................................................................................... 39
1.0,678.36,77.0,3195.36,9.0,0.0,4.0,9.0,0.0,669.36,9.0,63.54,72.54,163.64,172.64,6,0,1,2,一、财务报表
1.0,678.36,78.0,3195.36,9.0,0.0,4.0,9.0,0.0,669.36,9.0,63.54,72.54,162.475,172.64,190,1,1,2,一、财务报表 .................................................................................................................................................................................... 39
1.0,693.96,79.0,3210.96,9.0,0.0,4.0,9.0,0.0,684.96,9.0,42.54,51.54,148.04,157.04,18,0,0,2,第七节 发行人认为应当披露的其他事项
1.0,693.96,80.0,3210.96,9.0,0.0,4.0,9.0,0.0,684.96,9.0,42.54,51.54,146.875,157.04,166,1,0,2,第七节 发行人认为应当披露的其他事项 ................................................................................................................................................ 57
0.5,709.56,81.0,3225.27,9.0,0.0,4.0,9.0,0.0,699.27,5.25,42.54,546.331,132.23,142.73,8,0,0,2,第八节 备查文件
1.0,709.56,83.0,3226.56,9.0,0.0,4.0,9.0,0.0,700.56,9.0,42.54,51.54,131.275,141.44,195,1,0,2,第八节 备查文件 ....................................................................................................................................................................................... 58
0.5,790.83,84.0,3306.33,10.5,0.0,4.0,10.5,0.0,780.33,5.25,294.96,300.21,51.17,61.67,1,0,0,1,4
0.5,54.51,0.0,3412.01,10.5,0.0,5.0,10.5,0.0,44.01,5.25,163.74,379.01,787.49,797.99,27,0,0,0,深圳市资本运营集团有限公司公司债券2021年半年度报告
1.0,82.462,1.0,3434.442,16.02,0.0,5.0,16.02,0.0,66.442,16.02,278.52,294.54,759.538,775.558,2,0,0,2,释义
1.0,145.35,2.0,3502.85,10.5,0.0,5.0,10.5,0.0,134.85,10.5,410.46,420.96,696.65,707.15,4,0,0,2,释义内容
1.0,166.77,3.0,3524.27,10.5,0.0,5.0,10.5,0.0,156.27,10.5,310.68,321.18,675.23,685.73,23,0,0,2,深圳市资本运营集团有限公司，曾用名：深圳市远致
1.0,180.39,5.0,3537.89,10.5,0.0,5.0,10.5,0.0,169.89,10.5,310.68,321.18,661.61,672.11,6,0,0,2,投资有限公司
0.5,195.03,6.0,3552.53,10.5,0.0,5.0,10.5,0.0,184.53,5.25,310.68,462.963,646.97,657.47,24,0,0,2,深圳市远致投资有限公司2018年面向合格投资者公
1.0,208.649,8.0,3566.149,10.5,0.0,5.0,10.5,0.0,198.149,10.5,310.68,321.18,633.351,643.851,12,0,0,2,开发行公司债券（第一期）
0.5,223.29,9.0,3580.79,10.5,0.0,5.0,10.5,0.0,212.79,5.25,310.68,483.899,618.71,629.21,24,0,0,2,深圳市资本运营集团有限公司2020年面向合格投资
1.0,236.909,11.0,3594.409,10.5,0.0,5.0,10.5,0.0,226.409,10.5,310.68,321.18,605.091,615.591,14,0,0,2,者公开发行公司债券（第一期）
0.5,251.55,12.0,3609.05,10.5,0.0,5.0,10.5,0.0,241.05,5.25,310.68,483.899,590.45,600.95,24,0,0,2,深圳市资本运营集团有限公司2021年面向专业投资
1.0,265.169,14.0,3622.669,10.5,0.0,5.0,10.5,0.0,254.669,10.5,310.68,321.18,576.831,587.331,14,0,0,2,者公开发行公司债券（第一期）
0.5,279.75,15.0,3637.25,10.5,0.0,5.0,10.5,0.0,269.25,5.25,310.68,483.899,562.25,572.75,24,0,0,2,深圳市资本运营集团有限公司2020年度第一期中期
1.0,293.37,17.0,3650.87,10.5,0.0,5.0,10.5,0.0,282.87,10.5,310.68,321.18,548.63,559.13,2,0,0,2,票据
0.5,307.65,18.0,3665.15,10.5,0.0,5.0,10.5,0.0,297.15,5.25,310.68,504.937,534.35,544.85,24,0,0,2,指《深圳市资本运营集团有限公司2020年度第一期
1.0,321.27,19.0,3678.77,10.5,0.0,5.0,10.5,0.0,310.77,10.5,310.68,321.18,520.73,531.23,24,0,0,2,中期票据募集说明书》、《深圳市资本运营集团有限公
0.5,334.889,20.0,3692.389,10.5,0.0,5.0,10.5,0.0,324.389,5.25,310.68,358.012,507.111,517.611,24,0,0,2,司2021年面向专业投资者公开发行公司债券（第一
1.0,348.509,21.0,3706.009,10.5,0.0,5.0,10.5,0.0,338.009,10.5,310.68,321.18,493.491,503.991,23,0,0,2,期）募集说明书》、《深圳市资本运营集团有限公司
0.5,362.128,23.0,3719.628,10.5,0.0,5.0,10.5,0.0,351.628,5.25,310.682,344.861,479.872,490.372,23,0,0,2,2020年面向合格投资者公开发行公司债券（第一
1.0,375.748,24.0,3733.248,10.5,0.0,5.0,10.5,0.0,365.248,10.5,310.682,321.182,466.252,476.752,21,0,0,2,期）募集说明书》及《深圳市远致投资有限公司
0.5,389.367,25.0,3746.867,10.5,0.0,5.0,10.5,0.0,378.867,5.25,310.682,344.861,452.633,463.133,25,0,0,2,2018年面向合格投资者公开发行公司债券(第一期)
1.0,402.987,26.0,3760.487,10.5,0.0,5.0,10.5,0.0,392.487,10.5,310.682,321.182,439.013,449.513,6,0,0,2,募集说明书》
1.0,424.05,27.0,3781.55,10.5,0.0,5.0,10.5,0.0,413.55,10.5,310.68,321.18,417.95,428.45,10,0,0,2,万和证券股份有限公司
1.0,452.25,28.0,3809.75,10.5,0.0,5.0,10.5,0.0,441.75,10.5,310.68,321.18,389.75,400.25,10,0,0,2,国信证券股份有限公司
1.0,473.31,29.0,3830.81,10.5,0.0,5.0,10.5,0.0,462.81,10.5,310.68,321.18,368.69,379.19,23,0,0,2,本公司根据有关法律、法规为发行公司债券而制作的
0.5,486.93,30.0,3844.43,10.5,0.0,5.0,10.5,0.0,476.43,5.25,310.68,536.388,355.07,365.57,24,0,0,2,《深圳市资本运营集团有限公司公司债券2021年半
1.0,500.549,31.0,3858.049,10.5,0.0,5.0,10.5,0.0,490.049,10.5,310.68,321.18,341.451,351.951,5,0,0,2,年度报告》
1.0,521.61,32.0,3879.11,10.5,0.0,5.0,10.5,0.0,511.11,10.5,310.68,321.18,320.39,330.89,11,0,0,2,中国证券监督管理委员会
1.0,549.87,33.0,3907.37,10.5,0.0,5.0,10.5,0.0,539.37,10.5,310.68,321.18,292.13,302.63,18,0,0,2,天职国际会计师事务所（特殊普通合伙）
1.0,571.29,34.0,3928.79,10.5,0.0,5.0,10.5,0.0,560.79,10.5,310.68,321.18,270.71,281.21,23,0,0,2,中诚信证券评估有限公司，或中诚信国际信用评级有
1.0,584.91,36.0,3942.41,10.5,0.0,5.0,10.5,0.0,574.41,10.5,310.68,321.18,257.09,267.59,5,0,0,2,限责任公司
1.0,606.39,37.0,3963.89,10.5,0.0,5.0,10.5,0.0,595.89,10.5,310.68,321.18,235.61,246.11,18,0,0,2,深圳市人民政府国有资产监督管理委员会
1.0,634.65,38.0,3992.15,10.5,0.0,5.0,10.5,0.0,624.15,10.5,310.684,321.184,207.35,217.85,16,0,0,2,元人民币/万元人民币/亿元人民币
1.0,667.53,39.0,4025.03,10.5,0.0,5.0,10.5,0.0,657.03,10.5,42.54,53.04,174.47,184.97,43,0,0,2,注：本报告中，部分合计数与各加数直接相加之和因四舍五入在尾数上略有差异，并非计算错误。
0.5,790.83,42.0,4148.33,10.5,0.0,5.0,10.5,0.0,780.33,5.25,294.96,300.21,51.17,61.67,1,0,0,1,5
0.5,54.51,0.0,4254.01,10.5,0.0,6.0,10.5,0.0,44.01,5.25,163.74,379.01,787.49,797.99,27,0,0,0,深圳市资本运营集团有限公司公司债券2021年半年度报告
1.0,82.522,1.0,4276.502,16.02,0.0,6.0,16.02,0.0,66.502,16.02,218.28,234.3,759.478,775.498,10,0,0,2,第一节 公司基本情况
1.0,109.98,2.0,4307.98,12.0,0.0,6.0,12.0,0.0,97.98,12.0,42.54,54.54,732.02,744.02,8,0,1,2,一、公司基本信息
1.0,507.24,17.0,4705.24,12.0,0.0,6.0,12.0,0.0,495.24,12.0,42.54,54.54,334.76,346.76,15,0,1,2,二、信息披露事务负责人基本信息
0.5,790.83,24.0,4990.33,10.5,0.0,6.0,10.5,0.0,780.33,5.25,294.96,300.21,51.17,61.67,1,0,0,1,6
0.5,54.51,0.0,5096.01,10.5,0.0,7.0,10.5,0.0,44.01,5.25,163.74,379.01,787.49,797.99,27,0,0,0,深圳市资本运营集团有限公司公司债券2021年半年度报告
1.0,81.96,1.0,5121.96,12.0,0.0,7.0,12.0,0.0,69.96,12.0,42.54,54.54,760.04,772.04,21,0,1,2,三、报告期内控股股东、实际控制人的变更情况
1.0,109.77,2.0,5151.27,10.5,0.0,7.0,10.5,0.0,99.27,10.5,42.54,53.04,732.23,742.73,18,0,1,2,（一） 报告期末控股股东、实际控制人
1.0,137.73,3.0,5179.23,10.5,0.0,7.0,10.5,0.0,127.23,10.5,63.54,74.04,704.27,714.77,32,0,0,2,报告期末控股股东姓名/名称：深圳市人民政府国有资产监督管理委员会
1.0,165.75,4.0,5207.25,10.5,0.0,7.0,10.5,0.0,155.25,10.5,63.54,74.04,676.25,686.75,33,0,0,2,报告期末实际控制人姓名/名称：深圳市人民政府国有资产监督管理委员会
1.0,193.771,5.0,5235.271,10.5,0.0,7.0,10.5,0.0,183.271,10.5,42.54,53.04,648.229,658.729,19,0,1,2,（二） 控股股东、实际控制人的变更情况
0.5,221.731,6.0,5263.231,10.5,0.0,7.0,10.5,0.0,211.231,5.25,42.54,47.79,620.269,630.769,10,0,0,2,1．控股股东变更情况
1.0,249.752,7.0,5291.252,10.5,0.0,7.0,10.5,0.0,239.252,10.5,63.54,74.04,592.248,602.748,18,0,0,2,报告期内，本公司控股股东未发生变更。
0.5,291.991,9.0,5333.491,10.5,0.0,7.0,10.5,0.0,281.491,5.25,42.54,47.79,550.009,560.509,11,0,0,2,2．实际控制人变更情况
1.0,319.951,10.0,5361.451,10.5,0.0,7.0,10.5,0.0,309.451,10.5,63.54,74.04,522.049,532.549,19,0,0,2,报告期内，本公司实际控制人未发生变更。
1.0,348.18,11.0,5388.18,12.0,0.0,7.0,12.0,0.0,336.18,12.0,42.54,54.54,493.82,505.82,32,0,1,2,四、报告期内董事、监事、高级管理人员或履行同等职责人员的变更情况
1.0,390.21,13.0,5431.71,10.5,0.0,7.0,10.5,0.0,379.71,10.5,63.54,74.04,451.79,462.29,36,0,0,2,报告期内，本公司董事、监事、高级管理人员或履行同等职责人员发生如下变更：
