,adv,bottom,cod,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,type,upright,width,x0,x1,y0,y1,continue
11,1,175.788,2,1005.708,ZWIVFZ+FangSong,12,[0],char,2,12,,《公司债券受托管理人执业行为准则》（以下简称《执业行为准则》）、《上海,163.788,para,TRUE,12,90,102,666.132,678.132,1
12,1,199.188,3,1029.108,ZWIVFZ+FangSong,12,[0],char,2,12,,证券交易所公司债券上市规则（2018年修订）》、《宁夏国有资本运营集团有,187.188,para,TRUE,12,90,300.6,641.016,654.732,1
13,1,222.588,4,1052.508,ZWIVFZ+FangSong,12,[0],char,2,12,,限责任公司公开发行公司债券之受托管理协议》（以下简称《受托管理协议》）,210.588,para,TRUE,12,90,102,619.332,631.332,1
14,1,245.988,5,1075.908,ZWIVFZ+FangSong,12,[0],char,2,12,,及其它相关信息披露文件以及宁夏国有资本运营集团有限责任公司（以下简称,233.988,para,TRUE,12,90,102,595.932,607.932,1
15,0.444,271.104,6,1101.024,TimesNewRomanPSMT,12,[0],char,2,12,,“发行人”或“公司”）出具的相关说明文件和提供的相关资料等，由受托管理人中,259.104,para,TRUE,5.328,90,95.328,570.816,582.816,1
16,1,292.788,7,1122.708,ZWIVFZ+FangSong,12,[0],char,2,12,,信建投证券股份有限公司（以下简称“中信建投证券”或“受托管理人”）编制。中,280.788,para,TRUE,12,90,102,547.416,559.416,1
17,1,316.188,8,1146.108,ZWIVFZ+FangSong,12,[0],char,2,12,,信建投证券编制本报告的内容及信息均来源于发行人提供的资料或说明。,304.188,para,TRUE,12,90,102,524.016,536.016,0
18,1,339.588,9,1169.508,ZWIVFZ+FangSong,12,[0],char,2,12,,本报告不构成对投资者进行或不进行某项行为的推荐意见，投资者应对相关,327.588,para,TRUE,12,114,126,502.332,514.332,1
19,1,362.988,10,1192.908,ZWIVFZ+FangSong,12,[0],char,2,12,,事宜作出独立判断，而不应将本报告中的任何内容据以作为中信建投证券所作的,350.988,para,TRUE,12,90,102,478.932,490.932,1
20,1,386.388,11,1216.308,ZWIVFZ+FangSong,12,[0],char,2,12,,承诺或声明。在任何情况下，未经中信建投证券书面许可，不得将本报告用作其,374.388,para,TRUE,12,90,102,455.532,467.532,1
21,1,409.788,12,1239.708,ZWIVFZ+FangSong,12,[0],char,2,12,,他任何用途。,397.788,para,TRUE,12,90,102,430.416,442.416,0
22,0.333,742.064,13,1573.484,TimesNewRomanPSMT,10.5,[0],char,2,10.5,,·,731.564,para,TRUE,3.496,90,93.497,99.856,110.356,0
23,1,138.972,0,1804.812,ZWIVFZ+FangSong,18,[0],char,3,18,[0],目录,120.972,para,TRUE,18,279.6,297.6,699.996,717.996,0
24,1,186.528,1,1858.368,ZWIVFZ+FangSong,12,[0],char,3,12,,一、受托管理的公司债券概况.................................................................................... 3,174.528,para,TRUE,12,90,102,653.676,665.676,0
25,1,209.928,2,1881.768,ZWIVFZ+FangSong,12,[0],char,3,12,,二、公司债券受托管理人履职情况............................................................................ 3,197.928,para,TRUE,12,90,102,630.276,642.276,0
26,1,233.328,3,1905.168,ZWIVFZ+FangSong,12,[0],char,3,12,,三、发行人报告期经营和财务状况............................................................................ 3,221.328,para,TRUE,12,90,102,606.876,618.876,0
27,1,256.728,4,1928.568,ZWIVFZ+FangSong,12,[0],char,3,12,,四、发行人募集资金使用及专项账户运作情况........................................................ 6,244.728,para,TRUE,12,90,102,583.476,595.476,0
28,1,280.128,5,1951.968,ZWIVFZ+FangSong,12,[0],char,3,12,,五、发行人偿债意愿和能力分析................................................................................ 6,268.128,para,TRUE,12,90,102,560.076,572.076,0
29,1,303.528,6,1975.368,ZWIVFZ+FangSong,12,[0],char,3,12,,六、内外部增信机制、偿债保障措施发生重大变化的情况.................................... 7,291.528,para,TRUE,12,90,102,536.676,548.676,0
30,1,326.928,7,1998.768,ZWIVFZ+FangSong,12,[0],char,3,12,,七、增信措施、偿债保障措施的执行情况及有效性分析........................................ 9,314.928,para,TRUE,12,90,102,513.276,525.276,0
31,1,350.328,8,2022.168,ZWIVFZ+FangSong,12,[0],char,3,12,,八、债券的本息偿付情况.......................................................................................... 10,338.328,para,TRUE,12,90,102,489.876,501.876,0
32,1,373.728,9,2045.568,ZWIVFZ+FangSong,12,[0],char,3,12,,九、募集说明书中约定的其他义务.......................................................................... 10,361.728,para,TRUE,12,90,102,466.476,478.476,0
33,1,397.128,10,2068.968,ZWIVFZ+FangSong,12,[0],char,3,12,,十、债券持有人会议召开的情况.............................................................................. 11,385.128,para,TRUE,12,90,102,443.076,455.076,0
34,1,420.528,11,2092.368,ZWIVFZ+FangSong,12,[0],char,3,12,,十一、发行人出现重大事项的情况.......................................................................... 11,408.528,para,TRUE,12,90,102,419.676,431.676,0
35,1,443.928,12,2115.768,ZWIVFZ+FangSong,12,[0],char,3,12,,十二、对债券持有人权益有重大影响的其他事项.................................................. 11,431.928,para,TRUE,12,90,102,396.276,408.276,0
36,1,94.933,0,2606.713,ZWIVFZ+FangSong,13.98,[0],char,4,13.98,[0],一、受托管理的公司债券概况,80.953,para,TRUE,13.98,90,103.98,746.987,760.967,0
37,1,137.688,1,2651.448,ZWIVFZ+FangSong,12,[0],char,4,12,,截止报告期末，发行人发行的由中信建投证券担任受托管理人的存续债券为,125.688,para,TRUE,12,114,126,704.232,716.232,1
38,0.5,162.804,2,2676.564,TimesNewRomanPSMT,12,[0],char,4,12,,18宁资01，债券具体情况见下表：,150.804,para,TRUE,6,90,96,679.116,691.116,0
39,1,184.488,3,2698.248,ZWIVFZ+FangSong,12,[0],char,4,12,[0],表：受托管理债券概况,172.488,para,TRUE,12,249.48,261.48,655.464,667.464,0
40,0.25,207.2396667,4,2721.463,TimesNewRomanPSMT,10.5,[0],char,4,10.5,, ,190.74375,tbl,TRUE,2.625,84.61411765,175.2075,635.717,646.217,
41,1,207.2396667,4,2719.962,TimesNewRomanPS-BoldMT,10.5,[0],char,4,10.5,[0],18宁资01 ,190.74375,tbl,TRUE,5.25,175.2075,503.8658824,635.496,647.718,
42,1,238.9196667,5,2743.842,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,债券名称 ,207.2396667,tbl,TRUE,10.5,84.61411765,175.2075,611.837,622.337,
43,1,238.9196667,5,2736.04,TimesNewRomanPSMT,10.5,[0],char,4,10.5,,宁夏国有资本运营集团有限责任公司2018年公开发行公司债券（第一期） ,207.2396667,tbl,TRUE,5.25,175.2075,503.8658824,604.035,631.64,
44,1,286.2596667,6,2775.582,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,核准文件和核准规模 ,238.9196667,tbl,TRUE,10.5,84.61411765,175.2075,564.493,592.098,
45,1,286.2596667,6,2767.781,TimesNewRomanPSMT,10.5,[0],char,4,10.5,,中国证监会于2017年7月18日以“证监许可[2017]1260号”文核准宁夏国有资本运营集团公司面向合格投资者公开发行总额不超过5亿元（含亿元）的公司债券 ,238.9196667,tbl,TRUE,5.25,175.2075,503.8658824,556.691,599.899,
46,1,302.34,7,2815.062,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,债券期限 ,286.2596667,tbl,TRUE,10.5,84.61411765,175.2075,540.617,551.117,
47,1,302.34,7,2815.062,TimesNewRomanPSMT,10.5,[0],char,4,10.5,,3年期 ,286.2596667,tbl,TRUE,5.25,175.2075,503.8658824,540.617,551.117,
48,1,318.42,8,2831.142,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,发行规模 ,302.34,tbl,TRUE,10.5,84.61411765,175.2075,524.537,535.037,
49,1,318.42,8,2831.142,TimesNewRomanPSMT,10.5,[0],char,4,10.5,,5亿元 ,302.34,tbl,TRUE,5.25,175.2075,503.8658824,524.537,535.037,
50,1,334.56,9,2847.282,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,债券利率 ,318.42,tbl,TRUE,10.5,84.61411765,175.2075,508.397,518.897,
51,0.5,334.56,9,2848.783,TimesNewRomanPSMT,10.5,[0],char,4,10.5,,4.77%,318.42,tbl,TRUE,5.25,175.2075,503.8658824,508.397,518.897,
52,1,350.64,10,2863.362,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,计息方式 ,334.56,tbl,TRUE,10.5,84.61411765,175.2075,492.317,502.817,
53,1,350.64,10,2863.362,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,单利按年付息 ,334.56,tbl,TRUE,10.5,175.2075,503.8658824,492.317,502.817,
54,1,366.7196667,11,2879.442,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,还本付息方式 ,350.64,tbl,TRUE,10.5,84.61411765,175.2075,476.237,486.737,
55,1,366.7196667,11,2879.442,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,按年付息、到期一次还本 ,350.64,tbl,TRUE,10.5,175.2075,503.8658824,476.237,486.737,
56,1,382.86,12,2895.582,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,付息日 ,366.7196667,tbl,TRUE,10.5,84.61411765,175.2075,460.097,470.597,
57,1,382.86,12,2895.582,TimesNewRomanPSMT,10.5,[0],char,4,10.5,,2019年至2021年每年的7月9日 ,366.7196667,tbl,TRUE,5.25,175.2075,503.8658824,460.097,472.098,
58,1,398.9396667,13,2911.662,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,担保方式 ,382.86,tbl,TRUE,10.5,84.61411765,175.2075,444.017,454.517,
59,1,398.9396667,13,2911.662,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,无 ,382.86,tbl,TRUE,10.5,175.2075,503.8658824,444.017,454.517,
60,1,415.02,14,2927.742,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,发行时信用级别 ,398.9396667,tbl,TRUE,10.5,84.61411765,175.2075,427.937,438.437,
61,1,415.02,14,2927.742,TimesNewRomanPSMT,10.5,[0],char,4,10.5,,债券信用等级为AAA，公司长期主体信用等级为AAA ,398.9396667,tbl,TRUE,7.581,175.2075,503.8658824,427.937,439.938,
62,1,447.17625,15,2951.682,ZWIVFZ+FangSong,10.5,[0],char,4,10.5,,跟踪评级情况 ,415.02,tbl,TRUE,10.5,84.61411765,175.2075,403.997,414.497,
63,1,447.17625,15,2943.88,TimesNewRomanPSMT,10.5,[0],char,4,10.5,,2020年6月23日跟踪评定，发行人长期信用等级仍为AAA，评级展望为“稳定”，公司债券信用等级为AAA ,415.02,tbl,TRUE,5.25,175.2075,503.8658824,396.195,423.8,
64,1,491.113,16,3002.893,ZWIVFZ+FangSong,13.98,[0],char,4,13.98,[0],二、债券受托管理人履职情况,477.133,para,TRUE,13.98,90,103.98,350.807,364.787,0
65,0.5,537.048,17,3050.808,TimesNewRomanPSMT,12,[0],char,4,12,,2020年度，受托管理人依据《管理办法》、《执业行为准则》和其他相关,525.048,para,TRUE,6,114,156.06,303.156,316.872,1
66,1,560.448,18,3074.208,ZWIVFZ+FangSong,12,[0],char,4,12,,法律、法规、规范性文件及自律规则的规定以及《受托管理协议》的约定，持续,548.448,para,TRUE,12,90,102,281.472,293.472,1
67,1,583.848,19,3097.608,ZWIVFZ+FangSong,12,[0],char,4,12,,跟踪发行人的资信状况、募集资金使用情况、公司债券本息偿付情况、内外部增,571.848,para,TRUE,12,90,102,258.072,270.072,1
68,1,607.248,20,3121.008,ZWIVFZ+FangSong,12,[0],char,4,12,,信机制及偿债保障措施实施情况等，并督促发行人履行公司债券募集说明书、受,595.248,para,TRUE,12,90,102,234.672,246.672,1
69,1,630.648,21,3144.408,ZWIVFZ+FangSong,12,[0],char,4,12,,托管理协议中所约定的义务，积极行使债券受托管理人职责，维护债券持有人的,618.648,para,TRUE,12,90,102,211.272,223.272,1
70,1,654.048,22,3167.808,ZWIVFZ+FangSong,12,[0],char,4,12,,合法权益。,642.048,para,TRUE,12,90,102,186.156,198.156,0
71,1,702.553,23,3214.333,ZWIVFZ+FangSong,13.98,[0],char,4,13.98,[0],三、发行人年度经营和财务状况,688.573,para,TRUE,13.98,90,209.28,139.367,153.347,0
72,0.25,704.845,24,3216.625,TimesNewRomanPS-BoldMT,13.98,[0],char,4,13.98,,2020,690.865,para,TRUE,3.495,163.8,325.275,137.075,151.055,0
73,1,748.548,25,3262.308,ZWIVFZ+FangSong,12,[0],char,4,12,[0],（一）发行人报告期经营情况,736.548,para,TRUE,12,90,102,91.404,103.404,0
74,1,89.988,0,3445.668,ZWIVFZ+FangSong,12,[0],char,5,12,,发行人主营业务主要包括铁路运输、发电供热、供水业务、工程劳务、煤炭,77.988,para,TRUE,12,114,126,751.932,763.932,1
75,1,113.388,1,3469.068,ZWIVFZ+FangSong,12,[0],char,5,12,,运销等。由于发行人本部为投资管理型，其中：铁路运输的经营主体为宁夏宁东,101.388,para,TRUE,12,90,102,728.532,740.532,1
76,1,136.788,2,3492.468,ZWIVFZ+FangSong,12,[0],char,5,12,,铁路，发电供热的经营主体为宁夏电投，供水及工程劳务的经营主体为宁东水务。,124.788,para,TRUE,12,90,102,705.132,717.132,1
77,1,160.188,3,3515.868,ZWIVFZ+FangSong,12,[0],char,5,12,,总体来看，发行人业务范围分布较广。,148.188,para,TRUE,12,90,102,680.016,692.016,0
78,0.5,191.388,4,3547.068,TimesNewRomanPSMT,12,[0],char,5,12,,2020年度，发行人实现营业收入66.83亿元，实现利润总额1.95亿元，实,179.388,para,TRUE,6,114,469.26,648.816,662.532,1
79,1,214.788,5,3570.468,ZWIVFZ+FangSong,12,[0],char,5,12,,现归属于发行人所有者的净利润-1.90亿元，归属于发行人所有者的净利润为负，,202.788,para,TRUE,12,90,298.02,625.416,639.132,1
80,1,238.188,6,3593.868,ZWIVFZ+FangSong,12,[0],char,5,12,,主要原因为受疫情和国际油价下跌影响，参股企业国能宁煤集团利润短期下降，,226.188,para,TRUE,12,90,102,603.732,615.732,1
81,0.5,261.588,7,3617.268,TimesNewRomanPSMT,12,[0],char,5,12,,影响发行人投资收益减少；截至2020年12月31日，发行人总资产834.34亿元，,249.588,para,TRUE,6,90,487.32,578.616,592.332,1
82,0.5,284.988,8,3640.668,TimesNewRomanPSMT,12,[0],char,5,12,,净资产483.56亿元，分别较2019年末增长9.31%和6.70%。,272.988,para,TRUE,6,90,370.02,555.216,568.932,0
83,1,316.188,9,3671.868,ZWIVFZ+FangSong,12,[0],char,5,12,[0],各主营业务板块的收入及成本情况,304.188,para,TRUE,12,219.36,231.36,523.764,535.764,0
84,1,347.388,10,3703.068,ZWIVFZ+FangSong,12,[0],char,5,12,,单位：万元,335.388,para,TRUE,12,445.32,457.32,492.816,504.816,0
85,1,378.059625,11,3732.642,TimesNewRomanPS-BoldMT,10.5,[0],char,5,10.5,[0],2020年度 ,361.425,tbl,TRUE,5.25,225.565,373.165,464.736,475.236,
86,1,378.059625,11,3732.642,TimesNewRomanPS-BoldMT,10.5,[0],char,5,10.5,[0],2019年度 ,361.425,tbl,TRUE,5.25,373.165,510.66,464.736,475.236,
87,1,394.2,12,3740.682,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,[0],业务板块 ,361.425,tbl,TRUE,10.5,84.6,225.565,456.696,467.196,
88,1,394.2,13,3748.842,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,[0],收入 ,378.059625,tbl,TRUE,10.5,225.565,299.3285714,448.536,459.036,
89,1,394.2,13,3748.842,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,[0],成本 ,378.059625,tbl,TRUE,10.5,299.3285714,373.165,448.536,459.036,
90,1,394.2,13,3748.842,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,[0],收入 ,378.059625,tbl,TRUE,10.5,373.165,441.8885714,448.536,459.036,
91,1,394.2,13,3748.842,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,[0],成本 ,378.059625,tbl,TRUE,10.5,441.8885714,510.66,448.536,459.036,
92,1,410.2796111,14,3764.922,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,宁夏电投电力收入 ,394.2,tbl,TRUE,10.5,84.6,225.565,432.677,443.177,
93,0.5,410.2796111,14,3766.423,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"134,976.40",394.2,tbl,TRUE,5.25,225.565,299.3285714,432.677,443.177,
94,0.5,410.2796111,14,3766.423,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"112,278.97",394.2,tbl,TRUE,5.25,299.3285714,373.165,432.677,443.177,
95,0.5,410.2796111,14,3766.423,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"138,375.30",394.2,tbl,TRUE,5.25,373.165,441.8885714,432.677,443.177,
96,0.5,410.2796111,14,3766.423,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"103,010.96",394.2,tbl,TRUE,5.25,441.8885714,510.66,432.677,443.177,
97,1,426.36,15,3781.002,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,宁夏电投热力收入 ,410.2796111,tbl,TRUE,10.5,84.6,225.565,416.597,427.097,
98,0.5,426.36,15,3782.503,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"85,541.32",410.2796111,tbl,TRUE,5.25,225.565,299.3285714,416.597,427.097,
99,0.5,426.36,15,3782.503,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"62,655.20",410.2796111,tbl,TRUE,5.25,299.3285714,373.165,416.597,427.097,
100,0.5,426.36,15,3782.503,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"72,273.96",410.2796111,tbl,TRUE,5.25,373.165,441.8885714,416.597,427.097,
101,0.5,426.36,15,3782.503,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"55,917.10",410.2796111,tbl,TRUE,5.25,441.8885714,510.66,416.597,427.097,
102,1,442.4996111,16,3797.142,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,宁夏电投其他主营业务收入 ,426.36,tbl,TRUE,10.5,84.6,225.565,400.457,410.957,
103,0.5,442.4996111,16,3798.643,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"7,608.38",426.36,tbl,TRUE,5.25,225.565,299.3285714,400.457,410.957,
104,0.5,442.4996111,16,3798.643,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"6,063.91",426.36,tbl,TRUE,5.25,299.3285714,373.165,400.457,410.957,
105,0.5,442.4996111,16,3798.643,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"2,795.92",426.36,tbl,TRUE,5.25,373.165,441.8885714,400.457,410.957,
106,0.5,442.4996111,16,3798.643,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"3,061.81",426.36,tbl,TRUE,5.25,441.8885714,510.66,400.457,410.957,
107,1,458.58,17,3813.222,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,宁夏水投工程施工收入 ,442.4996111,tbl,TRUE,10.5,84.6,225.565,384.377,394.877,
108,0.5,458.58,17,3814.723,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"153,334.19",442.4996111,tbl,TRUE,5.25,225.565,299.3285714,384.377,394.877,
109,0.5,458.58,17,3814.723,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"144,173.42",442.4996111,tbl,TRUE,5.25,299.3285714,373.165,384.377,394.877,
110,0.5,458.58,17,3814.723,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"159,798.62",442.4996111,tbl,TRUE,5.25,373.165,441.8885714,384.377,394.877,
111,0.5,458.58,17,3814.723,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"150,282.00",442.4996111,tbl,TRUE,5.25,441.8885714,510.66,384.377,394.877,
112,1,474.66,18,3829.302,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,宁夏水投供水业务收入 ,458.58,tbl,TRUE,10.5,84.6,225.565,368.297,378.797,
113,0.5,474.66,18,3830.803,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"100,555.44",458.58,tbl,TRUE,5.25,225.565,299.3285714,368.297,378.797,
114,0.5,474.66,18,3830.803,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"65,008.60",458.58,tbl,TRUE,5.25,299.3285714,373.165,368.297,378.797,
115,0.5,474.66,18,3830.803,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"87,559.38",458.58,tbl,TRUE,5.25,373.165,441.8885714,368.297,378.797,
116,0.5,474.66,18,3830.803,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"56,234.70",458.58,tbl,TRUE,5.25,441.8885714,510.66,368.297,378.797,
117,1,490.8,19,3845.442,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,宁夏水投排水业务收入 ,474.66,tbl,TRUE,10.5,84.6,225.565,352.157,362.657,
118,0.5,490.8,19,3846.943,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"13,236.65",474.66,tbl,TRUE,5.25,225.565,299.3285714,352.157,362.657,
119,0.5,490.8,19,3846.943,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"11,157.26",474.66,tbl,TRUE,5.25,299.3285714,373.165,352.157,362.657,
120,0.5,490.8,19,3846.943,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"5,928.18",474.66,tbl,TRUE,5.25,373.165,441.8885714,352.157,362.657,
121,0.5,490.8,19,3846.943,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"5,272.25",474.66,tbl,TRUE,5.25,441.8885714,510.66,352.157,362.657,
122,1,506.88,20,3861.522,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,宁夏水投其他主营业务收入 ,490.8,tbl,TRUE,10.5,84.6,225.565,336.077,346.577,
123,0.5,506.88,20,3863.023,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"19,915.53",490.8,tbl,TRUE,5.25,225.565,299.3285714,336.077,346.577,
124,0.5,506.88,20,3863.023,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"13,582.43",490.8,tbl,TRUE,5.25,299.3285714,373.165,336.077,346.577,
125,0.5,506.88,20,3863.023,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"7,153.62",490.8,tbl,TRUE,5.25,373.165,441.8885714,336.077,346.577,
126,0.5,506.88,20,3863.023,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"4,567.93",490.8,tbl,TRUE,5.25,441.8885714,510.66,336.077,346.577,
127,1,522.9596111,21,3877.602,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,西部创业铁路运输收入 ,506.88,tbl,TRUE,10.5,84.6,225.565,319.997,330.497,
128,0.5,522.9596111,21,3879.103,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"72,461.97",506.88,tbl,TRUE,5.25,225.565,299.3285714,319.997,330.497,
129,0.5,522.9596111,21,3879.103,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"52,440.27",506.88,tbl,TRUE,5.25,299.3285714,373.165,319.997,330.497,
130,0.5,522.9596111,21,3879.103,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"64,889.22",506.88,tbl,TRUE,5.25,373.165,441.8885714,319.997,330.497,
131,0.5,522.9596111,21,3879.103,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"50,551.41",506.88,tbl,TRUE,5.25,441.8885714,510.66,319.997,330.497,
132,1,539.22,22,3893.802,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,西部创业其他主营业务收入 ,522.9596111,tbl,TRUE,10.5,84.6,225.565,303.797,314.297,
133,0.5,539.22,22,3895.303,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"7,356.63",522.9596111,tbl,TRUE,5.25,225.565,299.3285714,303.797,314.297,
134,0.5,539.22,22,3895.303,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"5,954.42",522.9596111,tbl,TRUE,5.25,299.3285714,373.165,303.797,314.297,
135,0.5,539.22,22,3895.303,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"5,882.49",522.9596111,tbl,TRUE,5.25,373.165,441.8885714,303.797,314.297,
136,0.5,539.22,22,3895.303,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"3,772.85",522.9596111,tbl,TRUE,5.25,441.8885714,510.66,303.797,314.297,
137,1,555.3596111,23,3910.002,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,国运基金收入 ,539.22,tbl,TRUE,10.5,84.6,225.565,287.597,298.097,
138,0.5,555.3596111,23,3911.503,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"9,177.65",539.22,tbl,TRUE,5.25,225.565,299.3285714,287.597,298.097,
139,0.5,555.3596111,23,3911.503,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"6,922.43",539.22,tbl,TRUE,5.25,299.3285714,373.165,287.597,298.097,
140,0.5,555.3596111,23,3911.503,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,184.11,539.22,tbl,TRUE,5.25,373.165,441.8885714,287.597,298.097,
141,0.5,555.3596111,23,3911.503,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,12.97,539.22,tbl,TRUE,5.25,441.8885714,510.66,287.597,298.097,
142,1,571.44,24,3926.082,ZWIVFZ+FangSong,10.5,[0],char,5,10.5,,煤炭勘察收入 ,555.3596111,tbl,TRUE,10.5,84.6,225.565,271.296,281.796,
143,0.5,571.44,24,3927.583,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"4,622.76",555.3596111,tbl,TRUE,5.25,225.565,299.3285714,271.296,281.796,
144,0.5,571.44,24,3927.583,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"4,638.36",555.3596111,tbl,TRUE,5.25,299.3285714,373.165,271.296,281.796,
145,0.5,571.44,24,3927.583,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"6,066.21",555.3596111,tbl,TRUE,5.25,373.165,441.8885714,271.296,281.796,
146,0.5,571.44,24,3927.583,TimesNewRomanPSMT,10.5,[0],char,5,10.5,,"4,554.42",555.3596111,tbl,TRUE,5.25,441.8885714,510.66,271.296,281.796,
