,adv,bottom,cod,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,upright,width,x0,x1,y0,y1,type,
17,14.04,529.69,17,1356.65,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,承担相应法律责任，并自愿接受惩戒。,515.65,TRUE,14.04,89.904,103.944,311.297,325.337,para,其它
18,14.04,556.93,18,1383.89,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,五、投资提示,542.89,TRUE,14.04,117.98,132.02,284.057,298.097,para,其它
19,14.04,584.17,19,1411.13,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,凡欲认购本期债券的投资者，请认真阅读本募集说明书及有关的,570.13,TRUE,14.04,117.86,131.9,257.87,271.91,para,其它
20,14.04,611.44,20,1438.4,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,信息披露文件，并进行独立投资判断。主管部门对本期债券发行所作,597.4,TRUE,14.04,89.904,103.944,230.6,244.64,para,其它
21,14.04,638.68,21,1465.64,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,出的任何决定，均不表明其对债券风险作出实质性判断。,624.64,TRUE,14.04,89.904,103.944,202.307,216.347,para,其它
22,14.04,665.92,22,1492.88,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,凡认购、受让并持有本期债券的投资者，均视同自愿接受本募集,651.88,TRUE,14.04,117.86,131.9,176.12,190.16,para,其它
23,14.04,693.16,23,1520.12,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,说明书对本期债券各项权利义务的约定。,679.12,TRUE,14.04,89.904,103.944,147.827,161.867,para,其它
24,4.5,730.324,24,1562.324,Times New Roman,9,0,char,2,9,0,1,721.324,TRUE,4.5,295.49,299.99,111.716,120.716,para,页脚
25,5.28,49.009,0,1721.489,,10.56,0,char,3,10.56,0,2016年重庆两江新区开发投资集团有限公司公司债券募集说明书,38.449,TRUE,5.28,208.97,243.17,792.239,802.799,para,页眉
26,14.04,87.9,1,1756.9,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,投资者在评价本期债券时，应认真考虑在本募集说明书中列明的,73.86,TRUE,14.04,117.86,131.9,754.14,768.18,para,其它
27,14.04,115.16,2,1784.16,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,各种风险。,101.12,TRUE,14.04,89.904,103.944,725.827,739.867,para,其它
28,14.04,142.4,3,1811.4,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,凡认购、受让并持有本期债券的投资者，均视为同意《2016年重庆,128.36,TRUE,14.04,116.66,479.38,698.587,713.68,para,其它
29,14.04,169.64,4,1838.64,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,两江新区开发投资集团有限公司公司债券债券持有人会议规则》，接受,155.6,TRUE,14.04,89.904,103.944,672.4,686.44,para,其它
30,14.04,196.88,5,1865.88,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,《2016年重庆两江新区开发投资集团有限公司公司债券账户及资金监,182.84,TRUE,14.04,89.904,151.22,644.107,659.2,para,其它
31,14.04,224.12,6,1893.12,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,管协议》、《2016年重庆两江新区开发投资集团有限公司公司债券债权代,210.08,TRUE,14.04,89.904,196.34,616.867,631.96,para,其它
32,14.04,251.36,7,1920.36,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,理协议》之权利及义务安排。,237.32,TRUE,14.04,89.904,103.944,589.627,603.667,para,其它
33,14.04,278.63,8,1947.63,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,六、其他重大事项或风险提示,264.59,TRUE,14.04,117.98,132.02,562.357,576.397,para,其它
34,14.04,305.87,9,1974.87,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,除发行人和主承销商外，发行人没有委托或授权任何其他人或实,291.83,TRUE,14.04,117.86,131.9,536.17,550.21,para,其它
35,14.04,333.11,10,2002.11,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,体提供未在本募集说明书中列明的信息和对本募集说明书作任何说,319.07,TRUE,14.04,89.904,103.944,508.93,522.97,para,其它
36,14.04,360.35,11,2029.35,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,明。,346.31,TRUE,14.04,89.904,103.944,480.637,494.677,para,其它
37,14.04,387.47,12,2056.47,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,投资者若对本募集说明书及其摘要存在任何疑问，应咨询自己的,373.43,TRUE,14.04,117.86,131.9,454.57,468.61,para,其它
38,14.04,414.71,13,2083.71,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,证券经纪人、律师、专业会计师或其他专业顾问。,400.67,TRUE,14.04,89.904,103.944,426.277,440.317,para,其它
39,14.04,441.97,14,2110.97,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,七、本期债券基本要素,427.93,TRUE,14.04,117.98,132.02,399.017,413.057,para,其它
40,14.04,469.21,15,2138.21,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,债券名称：2016年重庆两江新区开发投资集团有限公司公司债,455.17,TRUE,14.04,117.98,237.89,371.777,386.87,para,其它
41,14.04,496.45,16,2165.45,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,券（简称“16渝两江”）。,482.41,TRUE,14.04,89.904,183.62,344.537,358.577,para,其它
42,14.04,523.69,17,2192.69,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,发行总额：28亿元。,509.65,TRUE,14.04,117.98,219.89,317.297,331.337,para,其它
43,14.04,550.93,18,2219.93,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,债券期限和利率：本期债券期限为五年，附分期偿还本金条款；,536.89,TRUE,14.04,117.98,132.02,291.11,305.15,para,其它
44,14.04,578.17,19,2247.17,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,本期债券采用固定利率形式，通过中央国债登记公司簿记建档发行系,564.13,TRUE,14.04,89.904,103.944,263.87,277.91,para,其它
45,14.04,605.44,20,2274.44,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,统，按照公开、公平、公正原则，以市场化方式确定发行票面年利率。,591.4,TRUE,14.04,89.904,103.944,236.6,250.64,para,其它
46,14.04,632.68,21,2301.68,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,本期债券采用单利按年计息，不计复利。,618.64,TRUE,14.04,89.904,103.944,208.307,222.347,para,其它
47,14.04,659.92,22,2328.92,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,发行方式及对象：本期债券以簿记建档、集中配售的方式，通过,645.88,TRUE,14.04,117.98,132.02,182.12,196.16,para,其它
48,14.04,687.16,23,2356.16,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,承销团成员设置的发行网点向在中央国债登记公司开户的机构投资,673.12,TRUE,14.04,89.904,103.944,154.88,168.92,para,其它
49,14.04,714.4,24,2383.4,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,3,14.04,0,者（国家法律、法规另有规定者除外）和在中国证券登记公司上海分,700.36,TRUE,14.04,89.904,103.944,127.64,141.68,para,其它
50,10.137,741.64,25,2410.64,,14.04,0,char,3,14.04,0,公司开立合格基金证券账户或A股证券账户的机构投资者（国家法,727.6,TRUE,10.137,89.904,309.53,99.347,114.44,para,其它
51,4.5,789.024,26,2463.064,Times New Roman,9,0,char,3,9,0,2,780.024,TRUE,4.5,295.49,299.99,53.016,62.016,para,页脚
52,5.28,49.009,0,2563.529,,10.56,0,char,4,10.56,0,2016年重庆两江新区开发投资集团有限公司公司债券募集说明书,38.449,TRUE,5.28,208.97,243.17,792.239,802.799,para,页眉
53,14.04,87.9,1,2598.94,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,4,14.04,0,律、法规禁止购买者除外）公开发行。,73.86,TRUE,14.04,89.904,103.944,753.087,767.127,para,其它
54,14.04,115.16,2,2626.2,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,4,14.04,0,还本付息方式：每年付息一次，同时设置本金提前偿付条款，分,101.12,TRUE,14.04,116.78,130.82,726.88,740.92,para,其它
55,7.02,142.4,3,2653.44,,14.04,0,char,4,14.04,0,次还本，在本期债券存续期的第3、第4、第5个计息年度，每年分,128.36,TRUE,7.02,89.904,393.67,698.587,713.68,para,其它
56,7.02,169.64,4,2680.68,,14.04,0,char,4,14.04,0,别偿付债券发行总额的30%、30%、40%，最后三年每年的应付利息,155.6,TRUE,7.02,89.904,240.47,671.347,686.44,para,其它
57,14.04,196.88,5,2707.92,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,4,14.04,0,随当年兑付的本金部分一起支付。,182.84,TRUE,14.04,89.904,103.944,644.107,658.147,para,其它
58,14.04,224.12,6,2735.16,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,4,14.04,0,担保方式：本期债券为无担保债券。,210.08,TRUE,14.04,117.98,132.02,616.867,630.907,para,其它
59,14.04,251.36,7,2762.4,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,4,14.04,0,信用等级：经上海新世纪资信评估投资服务有限公司综合评定，,237.32,TRUE,14.04,117.98,132.02,590.68,604.72,para,其它
60,10.137,278.63,8,2789.67,,14.04,0,char,4,14.04,0,发行人的主体信用级别为AAA，本期债券信用级别为AAA。,264.59,TRUE,10.137,89.904,431.527,562.357,577.45,para,其它
61,7.02,305.87,9,2816.91,,14.04,0,char,4,14.04,0,簿记建档日：2016年1月12日。,291.83,TRUE,7.02,117.98,310.85,535.117,550.21,para,其它
62,7.02,333.11,10,2844.15,,14.04,0,char,4,14.04,0,发行期限：自2016年1月13日至2016年1月15日。,319.07,TRUE,7.02,117.98,440.47,507.877,522.97,para,其它
63,4.5,789.024,11,3305.104,Times New Roman,9,0,char,4,9,0,3,780.024,TRUE,4.5,295.49,299.99,53.016,62.016,para,页脚
64,5.28,49.009,0,3405.569,,10.56,0,char,5,10.56,0,2016年重庆两江新区开发投资集团有限公司公司债券募集说明书,38.449,TRUE,5.28,208.97,243.17,792.239,802.799,para,页眉
65,14.04,96.44,1,3449.52,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,目录,82.4,TRUE,14.04,283.73,297.77,744.547,758.587,para,其它
66,14.04,137.96,2,3491.04,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,释义............................................................................................................. 5,123.92,TRUE,14.04,90.264,104.304,703.027,717.067,para,其它
67,14.04,165.2,3,3518.28,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第一条 债券发行依据 .............................................................................. 7,151.16,TRUE,14.04,90.264,153.5,675.787,689.827,para,其它
68,14.04,192.44,4,3545.52,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第二条 本期债券发行的有关机构 .......................................................... 7,178.4,TRUE,14.04,90.264,153.5,648.547,662.587,para,其它
69,14.04,219.68,5,3572.76,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第三条 发行概要 .................................................................................... 10,205.64,TRUE,14.04,90.264,153.5,621.307,635.347,para,其它
70,14.04,246.92,6,3600,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第四条 认购与托管 ................................................................................ 12,232.88,TRUE,14.04,90.264,153.5,594.067,608.107,para,其它
71,14.04,274.19,7,3627.27,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第五条 债券发行网点 ............................................................................ 13,260.15,TRUE,14.04,90.264,153.5,566.797,580.837,para,其它
72,14.04,301.43,8,3654.51,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第六条 认购人承诺 ................................................................................ 13,287.39,TRUE,14.04,90.264,153.5,539.557,553.597,para,其它
73,14.04,328.67,9,3681.75,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第七条 债券本息兑付办法 .................................................................... 14,314.63,TRUE,14.04,90.264,153.5,512.317,526.357,para,其它
74,14.04,355.91,10,3708.99,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第八条 发行人基本情况 ........................................................................ 15,341.87,TRUE,14.04,90.264,153.5,485.077,499.117,para,其它
75,14.04,383.15,11,3736.23,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第九条 发行人业务情况 ........................................................................ 33,369.11,TRUE,14.04,90.264,153.5,457.837,471.877,para,其它
76,14.04,410.39,12,3763.47,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第十条 发行人财务情况 ........................................................................ 48,396.35,TRUE,14.04,90.264,153.5,430.597,444.637,para,其它
77,14.04,437.65,13,3790.73,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第十一条 已发行尚未兑付的债券 ........................................................ 67,423.61,TRUE,14.04,90.264,167.54,403.337,417.377,para,其它
78,14.04,464.89,14,3817.97,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第十二条 募集资金用途 ........................................................................ 68,450.85,TRUE,14.04,90.264,167.54,376.097,390.137,para,其它
79,14.04,492.13,15,3845.21,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第十三条 偿债保证措施 ........................................................................ 84,478.09,TRUE,14.04,90.264,167.54,348.857,362.897,para,其它
80,14.04,519.37,16,3872.45,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第十四条 风险与对策 ............................................................................ 88,505.33,TRUE,14.04,90.264,167.54,321.617,335.657,para,其它
81,14.04,546.61,17,3899.69,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第十五条 信用评级 ................................................................................ 92,532.57,TRUE,14.04,90.264,167.54,294.377,308.417,para,其它
82,14.04,573.85,18,3926.93,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第十六条 法律意见 ................................................................................ 94,559.81,TRUE,14.04,90.264,167.54,267.137,281.177,para,其它
83,14.04,601.09,19,3954.17,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第十七条 其他应说明的事项 ................................................................ 96,587.05,TRUE,14.04,90.264,167.54,239.897,253.937,para,其它
84,14.04,628.36,20,3981.44,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,5,14.04,0,第十八条 备查文件 ................................................................................ 96,614.32,TRUE,14.04,90.264,167.54,212.627,226.667,para,其它
85,4.5,789.024,21,4147.144,Times New Roman,9,0,char,5,9,0,4,780.024,TRUE,4.5,295.49,299.99,53.016,62.016,para,页脚
86,5.28,49.009,0,4247.609,,10.56,0,char,6,10.56,0,2016年重庆两江新区开发投资集团有限公司公司债券募集说明书,38.449,TRUE,5.28,208.97,243.17,792.239,802.799,para,页眉
87,14.04,87.9,1,4283.02,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,释义,73.86,TRUE,14.04,283.73,297.77,753.087,767.127,para,其它
88,14.04,124.16,2,4319.28,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,在本期债券募集说明书中，除非上下文另有规定，下列词汇具有,110.12,TRUE,14.04,117.86,131.9,717.88,731.92,para,其它
89,14.04,151.4,3,4346.52,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,以下含义：,137.36,TRUE,14.04,89.904,103.944,689.587,703.627,para,其它
90,14.04,178.64,4,4373.76,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,发行人/公司：指重庆两江新区开发投资集团有限公司。,164.6,TRUE,14.04,117.98,132.02,662.347,676.387,para,其它
91,7.02,205.88,5,4401,,14.04,0,char,6,14.04,0,本期债券：指总额为28亿元的2016年重庆两江新区开发投资集,191.84,TRUE,7.02,117.98,351.55,635.107,650.2,para,其它
92,14.04,233.12,6,4428.24,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,团有限公司公司债券。,219.08,TRUE,14.04,89.904,103.944,607.867,621.907,para,其它
93,14.04,260.36,7,4455.48,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,募集说明书：指发行人根据有关法律、法规为本期债券发行而制,246.32,TRUE,14.04,117.98,132.02,581.68,595.72,para,其它
94,14.04,287.63,8,4482.75,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,作的《2016年重庆两江新区开发投资集团有限公司公司债券募集说,273.59,TRUE,14.04,89.904,181.34,553.357,568.45,para,其它
95,14.04,314.87,9,4509.99,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,明书》。,300.83,TRUE,14.04,89.904,103.944,526.117,540.157,para,其它
96,14.04,342.11,10,4537.23,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,募集说明书摘要：指发行人根据有关法律、法规为本期债券发行,328.07,TRUE,14.04,117.98,132.02,499.93,513.97,para,其它
97,14.04,369.35,11,4564.47,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,而制作的《2016年重庆两江新区开发投资集团有限公司公司债券募,355.31,TRUE,14.04,89.904,209.54,471.637,486.73,para,其它
98,14.04,396.47,12,4591.59,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,集说明书摘要》。,382.43,TRUE,14.04,89.904,103.944,444.517,458.557,para,其它
99,14.04,423.71,13,4618.83,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,主承销商/簿记管理人：指中国银河证券股份有限公司。,409.67,TRUE,14.04,117.98,132.02,417.277,431.317,para,其它
100,14.04,450.97,14,4646.09,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,簿记建档：指由发行人与簿记管理人确定本期债券的簿记建档利,436.93,TRUE,14.04,117.98,132.02,391.07,405.11,para,其它
101,14.04,478.21,15,4673.33,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,率区间，投资者直接向簿记管理人发出申购订单，簿记管理人负责记,464.17,TRUE,14.04,89.904,103.944,363.83,377.87,para,其它
102,14.04,505.45,16,4700.57,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,录申购订单，最终由发行人与簿记管理人根据申购情况确定本期债券,491.41,TRUE,14.04,89.904,103.944,336.59,350.63,para,其它
103,14.04,532.69,17,4727.81,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,发行利率的过程。,518.65,TRUE,14.04,89.904,103.944,308.297,322.337,para,其它
104,14.04,559.93,18,4755.05,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,承销团：指主承销商为本期债券发行组织的，由主承销商和分销,545.89,TRUE,14.04,117.98,132.02,282.11,296.15,para,其它
105,14.04,587.17,19,4782.29,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,商组成的承销组织。,573.13,TRUE,14.04,89.904,103.944,253.817,267.857,para,其它
106,14.04,614.44,20,4809.56,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,承销团协议：指主承销商与承销团其他成员签署的《2016年重,600.4,TRUE,14.04,117.98,491.5,226.547,241.64,para,其它
107,14.04,641.68,21,4836.8,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,庆两江新区开发投资集团有限公司公司债券承销团协议》。,627.64,TRUE,14.04,89.904,103.944,199.307,213.347,para,其它
108,14.04,668.92,22,4864.04,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,余额包销：指承销团成员按照承销团协议所规定的承销义务销售,654.88,TRUE,14.04,117.98,132.02,173.12,187.16,para,其它
109,14.04,696.16,23,4891.28,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,本期债券，并承担相应的发行风险，即在规定的发行期限内将各自未,682.12,TRUE,14.04,89.904,103.944,145.88,159.92,para,其它
110,14.04,723.4,24,4918.52,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,售出的本期债券全部自行购入。,709.36,TRUE,14.04,89.904,103.944,117.587,131.627,para,其它
111,14.04,750.636,25,4945.756,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,6,14.04,0,证券登记机构：指中央国债登记结算有限责任公司（简称“中央,736.596,TRUE,14.04,117.98,132.02,91.404,105.444,para,其它
112,4.5,789.024,26,4989.184,Times New Roman,9,0,char,6,9,0,5,780.024,TRUE,4.5,295.49,299.99,53.016,62.016,para,页脚
113,5.28,49.009,0,5089.649,,10.56,0,char,7,10.56,0,2016年重庆两江新区开发投资集团有限公司公司债券募集说明书,38.449,TRUE,5.28,208.97,243.17,792.239,802.799,para,页眉
114,14.04,87.9,1,5125.06,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,国债登记公司”）和中国证券登记结算有限责任公司上海分公司（简,73.86,TRUE,14.04,89.904,103.944,754.14,768.18,para,其它
115,14.04,115.16,2,5152.32,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,称“中国证券登记公司上海分公司”）。,101.12,TRUE,14.04,89.904,103.944,725.827,739.867,para,其它
116,14.04,142.4,3,5179.56,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,监管银行/债权代理人：指重庆三峡银行股份有限公司（简称“三,128.36,TRUE,14.04,117.98,132.02,698.587,712.627,para,其它
117,14.04,169.64,4,5206.8,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,峡银行”）。,155.6,TRUE,14.04,89.904,103.944,671.347,685.387,para,其它
118,14.04,196.88,5,5234.04,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,账户及资金监管协议：指发行人与监管银行签署的《2016年重庆,182.84,TRUE,14.04,117.98,479.5,644.107,659.2,para,其它
119,14.04,224.12,6,5261.28,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,两江新区开发投资集团有限公司公司债券账户及资金监管协议》。,210.08,TRUE,14.04,89.904,103.944,616.867,630.907,para,其它
120,14.04,251.36,7,5288.52,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,债权代理协议：指发行人与债权代理人签署的《2016年重庆两江,237.32,TRUE,14.04,117.98,452.71,589.627,604.72,para,其它
121,14.04,278.63,8,5315.79,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,新区开发投资集团有限公司公司债券债权代理协议》。,264.59,TRUE,14.04,89.904,103.944,562.357,576.397,para,其它
122,14.04,305.87,9,5343.03,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,债券持有人会议规则：指发行人为本期债券制定的《2016年重庆,291.83,TRUE,14.04,117.98,479.5,535.117,550.21,para,其它
123,14.04,333.11,10,5370.27,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,7,14.04,0,两江新区开发投资集团有限公司公司债券债券持有人会议规则》。,319.07,TRUE,14.04,89.904,103.944,507.877,521.917,para,其它
